Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,1
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,2
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,3
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,4
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,5
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,6
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,7
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,8
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,9
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,10
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,11
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,December,12
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,13
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,14
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,15
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,16
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,18
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,19
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,20
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,21
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,22
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,23
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,24
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,25
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,26
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,27
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,28
Amla,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2021,December,29
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,30
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,December,31
Amla,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2021,November,1
Amla,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2021,November,2
Amla,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2021,November,3
Amla,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2021,November,4
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,5
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,6
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,7
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,8
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,9
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,10
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,11
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,12
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,13
Amla,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2021,November,14
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,15
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,16
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,17
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,18
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,19
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,November,20
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,November,21
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,November,22
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,November,23
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,November,24
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,November,25
Amla,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2021,November,26
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,27
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,28
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,29
Amla,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2021,November,30
Amla,Kg,60.0,80.0,70.0,Early Autumn,Fruit,2021,October,29
Amla,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2021,October,30
Amla,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2021,October,31
Amla,Kg,120.0,130.0,125.0,Summer Monsoon,Fruit,2022,August,9
Amla,Kg,120.0,130.0,125.0,Summer Monsoon,Fruit,2022,August,10
Amla,Kg,120.0,130.0,125.0,Summer Monsoon,Fruit,2022,August,11
