Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Asparagus,Kg,150.0,180.0,165.0,Summer Monsoon,Vegetable,2013,August,1
Asparagus,Kg,150.0,200.0,175.0,Summer Monsoon,Vegetable,2013,August,2
Asparagus,Kg,150.0,200.0,175.0,Summer Monsoon,Vegetable,2013,August,4
Asparagus,Kg,150.0,200.0,175.0,Summer Monsoon,Vegetable,2013,August,5
Asparagus,Kg,150.0,200.0,175.0,Summer Monsoon,Vegetable,2013,August,6
Asparagus,Kg,150.0,200.0,175.0,Summer Monsoon,Vegetable,2013,August,7
Asparagus,Kg,120.0,180.0,150.0,Summer Monsoon,Vegetable,2013,August,8
Asparagus,Kg,150.0,200.0,175.0,Summer Monsoon,Vegetable,2013,August,12
Asparagus,Kg,150.0,200.0,175.0,Summer Monsoon,Vegetable,2013,August,13
Asparagus,Kg,160.0,200.0,180.0,Summer Monsoon,Vegetable,2013,August,14
Asparagus,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,15
Asparagus,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,16
Asparagus,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,18
Asparagus,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,August,19
Asparagus,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,August,20
Asparagus,Kg,200.0,250.0,225.0,Summer Monsoon,Vegetable,2013,August,23
Asparagus,Kg,200.0,250.0,225.0,Summer Monsoon,Vegetable,2013,August,25
Asparagus,Kg,200.0,250.0,225.0,Summer Monsoon,Vegetable,2013,August,26
Asparagus,Kg,200.0,250.0,225.0,Summer Monsoon,Vegetable,2013,August,27
Asparagus,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,29
Asparagus,Kg,200.0,250.0,225.0,Summer Monsoon,Vegetable,2013,August,30
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,1
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,2
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,3
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,4
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,5
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,9
Asparagus,Kg,120.0,150.0,135.0,Early Summer,Vegetable,2013,July,10
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,11
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,12
Asparagus,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,14
Asparagus,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,July,15
Asparagus,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,July,16
Asparagus,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,July,17
Asparagus,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,July,18
Asparagus,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,July,21
Asparagus,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,July,22
Asparagus,Kg,120.0,150.0,135.0,Summer Monsoon,Vegetable,2013,July,23
Asparagus,Kg,120.0,150.0,135.0,Summer Monsoon,Vegetable,2013,July,24
Asparagus,Kg,120.0,150.0,135.0,Summer Monsoon,Vegetable,2013,July,25
Asparagus,Kg,120.0,150.0,135.0,Summer Monsoon,Vegetable,2013,July,26
Asparagus,Kg,120.0,150.0,135.0,Summer Monsoon,Vegetable,2013,July,28
Asparagus,Kg,150.0,170.0,160.0,Summer Monsoon,Vegetable,2013,July,29
Asparagus,Kg,150.0,180.0,165.0,Summer Monsoon,Vegetable,2013,July,30
Asparagus,Kg,150.0,180.0,165.0,Summer Monsoon,Vegetable,2013,July,31
Asparagus,Kg,100.0,150.0,125.0,Early Summer,Vegetable,2013,June,16
Asparagus,Kg,100.0,150.0,125.0,Early Summer,Vegetable,2013,June,17
Asparagus,Kg,100.0,120.0,110.0,Early Summer,Vegetable,2013,June,18
Asparagus,Kg,100.0,125.0,112.5,Early Summer,Vegetable,2013,June,19
Asparagus,Kg,100.0,120.0,110.0,Early Summer,Vegetable,2013,June,20
