Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,1
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,2
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,3
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,4
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,5
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,6
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,7
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,8
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,9
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,10
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,11
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,12
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,13
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,14
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,15
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,16
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,18
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,19
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,20
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,21
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,22
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,23
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,24
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,25
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,26
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,27
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,28
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,29
Avocado,Kg,300.0,350.0,325.0,Late Autumn,Fruit,2021,December,30
Avocado,Kg,250.0,300.0,275.0,Late Autumn,Fruit,2021,December,31
Avocado,Kg,250.0,300.0,275.0,Early Autumn,Fruit,2021,November,1
Avocado,Kg,200.0,250.0,225.0,Early Autumn,Fruit,2021,November,2
