Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Bakula,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2013,December,1
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,2
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,3
Bakula,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2013,December,4
Bakula,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,December,5
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,6
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,8
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,9
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,10
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,11
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,12
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,13
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,15
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,16
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,18
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2013,December,19
Bakula,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,20
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2013,December,22
Bakula,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2013,December,23
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2013,December,24
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,26
Bakula,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2013,December,27
Bakula,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,29
Bakula,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2013,December,31
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,November,3
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,November,4
Bakula,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,November,10
Bakula,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,November,11
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,November,12
Bakula,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2013,November,22
Bakula,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,November,24
Bakula,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2013,November,25
Bakula,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,November,26
Bakula,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,November,27
Bakula,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,November,28
Bakula,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,November,29
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,1
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,2
Bakula,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,4
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,7
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,8
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,9
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,10
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,11
Bakula,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,20
Bakula,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2013,October,21
Bakula,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2013,October,22
Bakula,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2013,October,23
Bakula,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,24
Bakula,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2013,October,25
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,October,28
Bakula,Kg,80.0,90.0,85.0,Early Autumn,Fruit,2013,October,29
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,September,29
Bakula,Kg,90.0,100.0,95.0,Early Autumn,Fruit,2013,September,30
Bakula,Kg,25.0,32.0,28.5,Spring,Fruit,2014,April,1
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,2
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,3
Bakula,Kg,30.0,35.0,32.5,Spring,Fruit,2014,April,4
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,6
Bakula,Kg,24.0,28.0,26.0,Spring,Fruit,2014,April,7
Bakula,Kg,40.0,45.0,42.5,Spring,Fruit,2014,April,10
Bakula,Kg,18.0,22.0,20.0,Spring,Fruit,2014,April,11
Bakula,Kg,18.0,20.0,19.0,Spring,Fruit,2014,April,13
Bakula,Kg,18.0,20.0,19.0,Spring,Fruit,2014,April,15
Bakula,Kg,18.0,20.0,19.0,Spring,Fruit,2014,April,16
Bakula,Kg,18.0,20.0,19.0,Spring,Fruit,2014,April,17
Bakula,Kg,20.0,25.0,22.5,Spring,Fruit,2014,April,18
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,20
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,21
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,22
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,23
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,25
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,27
Bakula,Kg,28.0,30.0,29.0,Spring,Fruit,2014,April,28
Bakula,Kg,38.0,40.0,39.0,Spring,Fruit,2014,April,29
Bakula,Kg,38.0,40.0,39.0,Spring,Fruit,2014,April,30
Bakula,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,December,1
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,2
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,3
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,4
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,5
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,6
Bakula,Kg,55.0,65.0,60.0,Late Autumn,Fruit,2014,December,7
Bakula,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,December,8
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,11
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,12
Bakula,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,December,13
Bakula,Kg,24.0,29.0,26.5,Late Autumn,Fruit,2014,December,14
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,15
Bakula,Kg,60.0,65.0,62.5,Late Autumn,Fruit,2014,December,16
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,17
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,18
Bakula,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2014,December,19
Bakula,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,21
Bakula,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,23
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,24
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,25
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,26
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,27
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,28
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,29
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,30
Bakula,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,31
Bakula,Kg,30.0,35.0,32.5,Winter,Fruit,2014,February,2
