Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Bamboo Shoot,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,1
Bamboo Shoot,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,2
Bamboo Shoot,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,4
Bamboo Shoot,Kg,60.0,80.0,70.0,Summer Monsoon,Vegetable,2013,August,5
Bamboo Shoot,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,6
Bamboo Shoot,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,7
Bamboo Shoot,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,8
Bamboo Shoot,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,12
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,13
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,14
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,15
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,16
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,18
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,19
Bamboo Shoot,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,20
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,23
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,25
Bamboo Shoot,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,26
Bamboo Shoot,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,27
Bamboo Shoot,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,29
