Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,1
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,2
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,4
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,5
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,6
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,7
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,8
Banana,Doz,40.0,50.0,45.0,Summer Monsoon,Fruit,2013,August,13
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,14
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,15
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,16
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,18
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,19
Banana,Doz,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,August,20
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,23
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,25
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,26
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,27
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,29
Banana,Doz,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,August,30
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,1
Banana,Doz,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,2
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,3
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,4
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,5
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,6
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,8
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,9
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,10
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,11
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,12
Banana,Doz,40.0,45.0,42.5,Late Autumn,Fruit,2013,December,13
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,15
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,16
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,18
Banana,Doz,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,19
