Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Barela,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,12
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,1
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,2
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,3
Barela,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2013,December,4
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,5
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,6
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,8
Barela,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,9
Barela,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,10
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,11
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,12
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,13
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,15
Barela,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,16
Barela,Kg,40.0,55.0,47.5,Late Autumn,Vegetable,2013,December,18
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,19
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,20
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,22
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,23
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,24
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,26
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,27
Barela,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,December,29
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,31
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,November,1
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,November,3
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,November,4
Barela,Kg,35.0,40.0,37.5,Early Autumn,Vegetable,2013,November,5
Barela,Kg,45.0,50.0,47.5,Early Autumn,Vegetable,2013,November,6
Barela,Kg,40.0,50.0,45.0,Early Autumn,Vegetable,2013,November,7
Barela,Kg,28.0,35.0,31.5,Early Autumn,Vegetable,2013,November,10
Barela,Kg,32.0,36.0,34.0,Early Autumn,Vegetable,2013,November,11
Barela,Kg,32.0,36.0,34.0,Early Autumn,Vegetable,2013,November,12
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,November,13
Barela,Kg,30.0,36.0,33.0,Early Autumn,Vegetable,2013,November,14
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,15
Barela,Kg,30.0,36.0,33.0,Late Autumn,Vegetable,2013,November,16
Barela,Kg,30.0,36.0,33.0,Late Autumn,Vegetable,2013,November,17
Barela,Kg,32.0,40.0,36.0,Late Autumn,Vegetable,2013,November,18
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,November,21
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,22
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,November,24
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,November,25
Barela,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,November,26
Barela,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,November,27
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,November,28
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,29
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,October,1
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,October,2
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,October,3
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,October,4
Barela,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,October,6
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,October,7
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,October,8
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,October,9
Barela,Kg,25.0,30.0,27.5,Early Autumn,Vegetable,2013,October,10
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,October,11
Barela,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,October,12
Barela,Kg,55.0,60.0,57.5,Early Autumn,Vegetable,2013,October,13
Barela,Kg,60.0,70.0,65.0,Early Autumn,Vegetable,2013,October,16
Barela,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,October,17
Barela,Kg,12.0,16.0,14.0,Early Autumn,Vegetable,2013,October,20
Barela,Kg,12.0,16.0,14.0,Early Autumn,Vegetable,2013,October,21
Barela,Kg,16.0,20.0,18.0,Early Autumn,Vegetable,2013,October,22
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,October,23
Barela,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,October,24
Barela,Kg,25.0,30.0,27.5,Early Autumn,Vegetable,2013,October,25
Barela,Kg,25.0,30.0,27.5,Early Autumn,Vegetable,2013,October,27
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,October,28
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,October,29
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,October,30
Barela,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,October,31
Barela,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,September,2
Barela,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,September,4
Barela,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,September,5
Barela,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,September,6
Barela,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,September,8
Barela,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,September,9
Barela,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,September,10
Barela,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,September,11
Barela,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,September,12
Barela,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,September,13
Barela,Kg,80.0,90.0,85.0,Early Autumn,Vegetable,2013,September,15
Barela,Kg,70.0,80.0,75.0,Early Autumn,Vegetable,2013,September,16
Barela,Kg,90.0,100.0,95.0,Early Autumn,Vegetable,2013,September,17
Barela,Kg,80.0,90.0,85.0,Early Autumn,Vegetable,2013,September,19
Barela,Kg,70.0,80.0,75.0,Early Autumn,Vegetable,2013,September,20
Barela,Kg,70.0,80.0,75.0,Early Autumn,Vegetable,2013,September,22
Barela,Kg,70.0,75.0,72.5,Early Autumn,Vegetable,2013,September,23
Barela,Kg,60.0,70.0,65.0,Early Autumn,Vegetable,2013,September,24
Barela,Kg,65.0,70.0,67.5,Early Autumn,Vegetable,2013,September,25
Barela,Kg,65.0,70.0,67.5,Early Autumn,Vegetable,2013,September,26
Barela,Kg,60.0,65.0,62.5,Early Autumn,Vegetable,2013,September,27
Barela,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,September,29
Barela,Kg,35.0,40.0,37.5,Early Autumn,Vegetable,2013,September,30
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,1
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,2
Barela,Kg,30.0,34.0,32.0,Spring,Vegetable,2014,April,3
Barela,Kg,30.0,34.0,32.0,Spring,Vegetable,2014,April,4
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,6
Barela,Kg,28.0,32.0,30.0,Spring,Vegetable,2014,April,7
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,9
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,10
Barela,Kg,28.0,32.0,30.0,Spring,Vegetable,2014,April,11
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,13
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,15
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,16
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,17
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,18
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,20
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,21
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,22
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,23
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,25
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,27
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,28
Barela,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,29
Barela,Kg,30.0,35.0,32.5,Spring,Vegetable,2014,April,30
Barela,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2014,December,1
Barela,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2014,December,2
Barela,Kg,28.0,32.0,30.0,Late Autumn,Vegetable,2014,December,3
Barela,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2014,December,4
Barela,Kg,30.0,32.0,31.0,Late Autumn,Vegetable,2014,December,5
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,6
Barela,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2014,December,7
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,11
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,12
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,13
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,14
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,16
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,18
Barela,Kg,38.0,42.0,40.0,Late Autumn,Vegetable,2014,December,19
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,December,21
Barela,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,22
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,23
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,24
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,26
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,27
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,28
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,29
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,30
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,31
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,2
Barela,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,February,3
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,4
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,5
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,6
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,7
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,9
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,10
Barela,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,February,12
Barela,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,February,13
Barela,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,February,14
Barela,Kg,55.0,60.0,57.5,Winter,Vegetable,2014,February,17
Barela,Kg,55.0,60.0,57.5,Winter,Vegetable,2014,February,18
Barela,Kg,58.0,60.0,59.0,Winter,Vegetable,2014,February,20
Barela,Kg,55.0,60.0,57.5,Winter,Vegetable,2014,February,21
Barela,Kg,50.0,55.0,52.5,Winter,Vegetable,2014,February,23
Barela,Kg,45.0,50.0,47.5,Winter,Vegetable,2014,February,24
Barela,Kg,45.0,50.0,47.5,Winter,Vegetable,2014,February,25
Barela,Kg,40.0,45.0,42.5,Winter,Vegetable,2014,February,26
Barela,Kg,40.0,45.0,42.5,Winter,Vegetable,2014,February,28
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,January,1
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2014,January,2
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2014,January,3
Barela,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2014,January,5
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,January,6
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,January,7
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,January,8
Barela,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,January,9
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,January,10
Barela,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,January,12
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,January,13
Barela,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,January,14
Barela,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,January,19
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,January,20
Barela,Kg,40.0,45.0,42.5,Winter,Vegetable,2014,January,21
Barela,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,January,22
Barela,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,January,23
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,January,24
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,January,26
Barela,Kg,34.0,38.0,36.0,Winter,Vegetable,2014,January,27
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,January,28
Barela,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,January,29
Barela,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2014,June,1
Barela,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2014,June,2
Barela,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2014,June,3
Barela,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2014,June,4
