Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Bauhania flower,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,1
Bauhania flower,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,2
Bauhania flower,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,3
Bauhania flower,Kg,50.0,55.0,52.5,Spring,Vegetable,2014,April,4
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,April,6
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,April,7
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,9
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2014,April,10
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,11
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,13
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,15
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,16
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2014,April,17
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2014,April,18
Bauhania flower,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,20
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2014,April,21
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2014,April,22
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,23
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,25
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,27
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2014,April,28
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2014,April,29
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2014,April,30
Bauhania flower,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,February,28
Bauhania flower,Kg,130.0,140.0,135.0,Winter,Vegetable,2014,March,5
Bauhania flower,Kg,140.0,150.0,145.0,Winter,Vegetable,2014,March,6
Bauhania flower,Kg,150.0,160.0,155.0,Winter,Vegetable,2014,March,7
Bauhania flower,Kg,150.0,160.0,155.0,Winter,Vegetable,2014,March,9
Bauhania flower,Kg,150.0,160.0,155.0,Winter,Vegetable,2014,March,10
Bauhania flower,Kg,100.0,120.0,110.0,Winter,Vegetable,2014,March,11
Bauhania flower,Kg,110.0,120.0,115.0,Winter,Vegetable,2014,March,12
Bauhania flower,Kg,110.0,120.0,115.0,Winter,Vegetable,2014,March,13
Bauhania flower,Kg,100.0,120.0,110.0,Winter,Vegetable,2014,March,14
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2014,March,17
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2014,March,18
Bauhania flower,Kg,80.0,100.0,90.0,Spring,Vegetable,2014,March,19
Bauhania flower,Kg,80.0,90.0,85.0,Spring,Vegetable,2014,March,20
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,March,21
Bauhania flower,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,March,23
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,March,24
Bauhania flower,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,March,25
Bauhania flower,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,March,26
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,March,27
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,March,28
Bauhania flower,Kg,80.0,90.0,85.0,Spring,Vegetable,2014,March,31
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2014,May,2
Bauhania flower,Kg,100.0,110.0,105.0,Spring,Vegetable,2014,May,4
Bauhania flower,Kg,55.0,60.0,57.5,Spring,Vegetable,2015,April,1
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2015,April,2
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2015,April,3
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2015,April,4
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2015,April,5
Bauhania flower,Kg,55.0,60.0,57.5,Spring,Vegetable,2015,April,6
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,8
Bauhania flower,Kg,70.0,75.0,72.5,Spring,Vegetable,2015,April,10
Bauhania flower,Kg,100.0,110.0,105.0,Spring,Vegetable,2015,April,12
Bauhania flower,Kg,80.0,85.0,82.5,Spring,Vegetable,2015,April,13
Bauhania flower,Kg,100.0,110.0,105.0,Spring,Vegetable,2015,April,14
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,15
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2015,April,16
Bauhania flower,Kg,80.0,100.0,90.0,Spring,Vegetable,2015,April,17
Bauhania flower,Kg,85.0,100.0,92.5,Spring,Vegetable,2015,April,18
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,19
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,20
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,21
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,22
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,23
Bauhania flower,Kg,80.0,90.0,85.0,Spring,Vegetable,2015,April,24
Bauhania flower,Kg,80.0,90.0,85.0,Spring,Vegetable,2015,April,25
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,26
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,27
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,April,28
Bauhania flower,Kg,200.0,250.0,225.0,Winter,Vegetable,2015,March,9
Bauhania flower,Kg,200.0,250.0,225.0,Winter,Vegetable,2015,March,10
Bauhania flower,Kg,200.0,250.0,225.0,Winter,Vegetable,2015,March,11
Bauhania flower,Kg,200.0,250.0,225.0,Winter,Vegetable,2015,March,13
Bauhania flower,Kg,130.0,140.0,135.0,Winter,Vegetable,2015,March,14
Bauhania flower,Kg,110.0,120.0,115.0,Spring,Vegetable,2015,March,16
Bauhania flower,Kg,100.0,120.0,110.0,Spring,Vegetable,2015,March,17
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,March,20
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,March,21
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,March,22
Bauhania flower,Kg,90.0,110.0,100.0,Spring,Vegetable,2015,March,23
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2015,March,24
Bauhania flower,Kg,45.0,50.0,47.5,Spring,Vegetable,2015,March,25
Bauhania flower,Kg,40.0,50.0,45.0,Spring,Vegetable,2015,March,26
Bauhania flower,Kg,40.0,45.0,42.5,Spring,Vegetable,2015,March,27
Bauhania flower,Kg,160.0,160.0,160.0,Spring,Vegetable,2015,March,28
Bauhania flower,Kg,40.0,45.0,42.5,Spring,Vegetable,2015,March,29
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2015,March,30
Bauhania flower,Kg,65.0,70.0,67.5,Spring,Vegetable,2015,March,31
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2015,May,3
Bauhania flower,Kg,80.0,90.0,85.0,Spring,Vegetable,2015,May,4
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,May,6
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,May,7
Bauhania flower,Kg,80.0,90.0,85.0,Spring,Vegetable,2015,May,11
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2015,May,12
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,April,1
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,April,2
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,April,3
Bauhania flower,Kg,80.0,85.0,82.5,Spring,Vegetable,2016,April,4
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,April,5
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2016,April,6
Bauhania flower,Kg,80.0,90.0,85.0,Spring,Vegetable,2016,April,7
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2016,April,8
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2016,April,9
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2016,April,10
Bauhania flower,Kg,90.0,100.0,95.0,Spring,Vegetable,2016,April,11
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2016,April,12
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2016,April,13
Bauhania flower,Kg,120.0,130.0,125.0,Winter,Vegetable,2016,March,7
Bauhania flower,Kg,100.0,110.0,105.0,Winter,Vegetable,2016,March,10
Bauhania flower,Kg,90.0,100.0,95.0,Winter,Vegetable,2016,March,11
Bauhania flower,Kg,90.0,100.0,95.0,Winter,Vegetable,2016,March,12
Bauhania flower,Kg,90.0,100.0,95.0,Winter,Vegetable,2016,March,13
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2016,March,15
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2016,March,16
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2016,March,17
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,March,18
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,March,19
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2016,March,20
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2016,March,21
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2016,March,22
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,March,23
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2016,March,24
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,March,25
Bauhania flower,Kg,70.0,80.0,75.0,Spring,Vegetable,2016,March,26
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2016,March,27
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2016,March,28
Bauhania flower,Kg,50.0,60.0,55.0,Spring,Vegetable,2016,March,29
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2016,March,30
Bauhania flower,Kg,60.0,70.0,65.0,Spring,Vegetable,2016,March,31
Bauhania flower,Kg,110.0,120.0,115.0,Spring,Vegetable,2017,April,1
Bauhania flower,Kg,110.0,120.0,115.0,Spring,Vegetable,2017,April,2
Bauhania flower,Kg,100.0,110.0,105.0,Spring,Vegetable,2017,April,3
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,4
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,5
Bauhania flower,Kg,180.0,190.0,185.0,Spring,Vegetable,2017,April,6
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,7
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,8
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,9
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,10
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,11
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,12
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,13
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,14
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,15
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,16
Bauhania flower,Kg,110.0,120.0,115.0,Spring,Vegetable,2017,April,17
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,18
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,19
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,20
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,21
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,22
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,23
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,24
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,25
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,April,26
Bauhania flower,Kg,110.0,120.0,115.0,Winter,Vegetable,2017,March,7
Bauhania flower,Kg,100.0,110.0,105.0,Winter,Vegetable,2017,March,8
Bauhania flower,Kg,95.0,100.0,97.5,Winter,Vegetable,2017,March,9
Bauhania flower,Kg,90.0,100.0,95.0,Winter,Vegetable,2017,March,10
Bauhania flower,Kg,90.0,100.0,95.0,Winter,Vegetable,2017,March,11
Bauhania flower,Kg,100.0,110.0,105.0,Winter,Vegetable,2017,March,13
Bauhania flower,Kg,120.0,130.0,125.0,Winter,Vegetable,2017,March,14
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,March,15
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,March,16
Bauhania flower,Kg,120.0,130.0,125.0,Spring,Vegetable,2017,March,17
