Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Brinjal,Kg,31.0,34.0,32.5,Summer Monsoon,Vegetable,2013,August,1
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,2
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,August,4
Brinjal,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,5
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,August,6
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,7
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,August,8
Brinjal,Kg,18.5,21.5,20.0,Summer Monsoon,Vegetable,2013,August,12
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,August,13
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,14
Brinjal,Kg,32.5,37.5,35.0,Summer Monsoon,Vegetable,2013,August,15
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,August,16
Brinjal,Kg,32.5,36.0,34.25,Summer Monsoon,Vegetable,2013,August,18
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,19
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,August,20
Brinjal,Kg,27.5,35.0,31.25,Summer Monsoon,Vegetable,2013,August,23
Brinjal,Kg,32.5,37.5,35.0,Summer Monsoon,Vegetable,2013,August,25
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,26
Brinjal,Kg,32.5,37.5,35.0,Summer Monsoon,Vegetable,2013,August,27
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,29
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,30
Brinjal,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,1
Brinjal,Kg,34.0,37.5,35.75,Late Autumn,Vegetable,2013,December,2
Brinjal,Kg,34.0,37.5,35.75,Late Autumn,Vegetable,2013,December,3
Brinjal,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,4
Brinjal,Kg,32.5,37.5,35.0,Late Autumn,Vegetable,2013,December,5
Brinjal,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,6
Brinjal,Kg,31.5,35.0,33.25,Late Autumn,Vegetable,2013,December,8
Brinjal,Kg,27.5,32.5,30.0,Late Autumn,Vegetable,2013,December,9
Brinjal,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,10
Brinjal,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,11
Brinjal,Kg,27.5,32.5,30.0,Late Autumn,Vegetable,2013,December,12
Brinjal,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,13
Brinjal,Kg,27.5,32.5,30.0,Late Autumn,Vegetable,2013,December,15
Brinjal,Kg,27.5,32.5,30.0,Late Autumn,Vegetable,2013,December,16
Brinjal,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,18
Brinjal,Kg,25.0,27.0,26.0,Late Autumn,Vegetable,2013,December,19
Brinjal,Kg,27.5,32.5,30.0,Late Autumn,Vegetable,2013,December,20
Brinjal,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,22
Brinjal,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,23
Brinjal,Kg,24.0,27.5,25.75,Late Autumn,Vegetable,2013,December,24
Brinjal,Kg,24.0,27.5,25.75,Late Autumn,Vegetable,2013,December,26
Brinjal,Kg,21.5,26.0,23.75,Late Autumn,Vegetable,2013,December,27
Brinjal,Kg,26.5,30.0,28.25,Late Autumn,Vegetable,2013,December,29
Brinjal,Kg,22.5,27.5,25.0,Late Autumn,Vegetable,2013,December,31
Brinjal,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,1
Brinjal,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,July,2
Brinjal,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,3
Brinjal,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,4
Brinjal,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,5
Brinjal,Kg,39.0,42.5,40.75,Early Summer,Vegetable,2013,July,9
Brinjal,Kg,42.5,47.5,45.0,Early Summer,Vegetable,2013,July,10
Brinjal,Kg,37.5,42.5,40.0,Early Summer,Vegetable,2013,July,11
Brinjal,Kg,35.0,42.5,38.75,Early Summer,Vegetable,2013,July,12
Brinjal,Kg,42.5,47.5,45.0,Early Summer,Vegetable,2013,July,14
Brinjal,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,15
Brinjal,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,16
Brinjal,Kg,42.5,47.5,45.0,Summer Monsoon,Vegetable,2013,July,17
Brinjal,Kg,34.0,38.5,36.25,Summer Monsoon,Vegetable,2013,July,18
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,19
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,July,21
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,July,22
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,July,23
Brinjal,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,24
Brinjal,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,July,25
Brinjal,Kg,31.5,35.0,33.25,Summer Monsoon,Vegetable,2013,July,26
