Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,1
Cauli,Kg,55.0,65.0,60.0,Summer Monsoon,Vegetable,2013,August,2
Cauli,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,4
Cauli,Kg,55.0,62.0,58.5,Summer Monsoon,Vegetable,2013,August,5
Cauli,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,6
Cauli,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,7
Cauli,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,8
Cauli,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,12
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,13
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,14
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,15
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,16
Cauli,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,18
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,19
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,20
Cauli,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,23
Cauli,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,25
Cauli,Kg,40.0,50.0,45.0,Summer Monsoon,Vegetable,2013,August,26
Cauli,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,27
Cauli,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,29
Cauli,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,30
Cauli,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,1
Cauli,Kg,35.0,45.0,40.0,Late Autumn,Vegetable,2013,December,2
Cauli,Kg,35.0,45.0,40.0,Late Autumn,Vegetable,2013,December,3
Cauli,Kg,35.0,45.0,40.0,Late Autumn,Vegetable,2013,December,4
Cauli,Kg,32.0,40.0,36.0,Late Autumn,Vegetable,2013,December,5
Cauli,Kg,35.0,45.0,40.0,Late Autumn,Vegetable,2013,December,6
Cauli,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,8
Cauli,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,9
Cauli,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,10
Cauli,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,11
Cauli,Kg,42.0,50.0,46.0,Late Autumn,Vegetable,2013,December,12
Cauli,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,13
Cauli,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,15
Cauli,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,16
Cauli,Kg,35.0,41.5,38.25,Late Autumn,Vegetable,2013,December,18
Cauli,Kg,34.0,37.5,35.75,Late Autumn,Vegetable,2013,December,19
Cauli,Kg,34.0,38.5,36.25,Late Autumn,Vegetable,2013,December,20
Cauli,Kg,34.0,38.5,36.25,Late Autumn,Vegetable,2013,December,22
Cauli,Kg,34.0,38.5,36.25,Late Autumn,Vegetable,2013,December,23
Cauli,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,24
Cauli,Kg,34.0,37.5,35.75,Late Autumn,Vegetable,2013,December,26
Cauli,Kg,27.5,32.5,30.0,Late Autumn,Vegetable,2013,December,27
Cauli,Kg,21.5,25.0,23.25,Late Autumn,Vegetable,2013,December,29
Cauli,Kg,21.5,25.0,23.25,Late Autumn,Vegetable,2013,December,31
Cauli,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,July,1
Cauli,Kg,25.0,30.0,27.5,Early Summer,Vegetable,2013,July,2
Cauli,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,3
Cauli,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,4
Cauli,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,5
Cauli,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,9
Cauli,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,10
Cauli,Kg,60.0,70.0,65.0,Early Summer,Vegetable,2013,July,11
Cauli,Kg,40.0,50.0,45.0,Early Summer,Vegetable,2013,July,12
Cauli,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,July,14
Cauli,Kg,55.0,65.0,60.0,Summer Monsoon,Vegetable,2013,July,15
Cauli,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,July,16
Cauli,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,17
Cauli,Kg,40.0,50.0,45.0,Summer Monsoon,Vegetable,2013,July,18
Cauli,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,19
Cauli,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,21
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,July,22
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,July,23
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,July,24
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,July,25
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,July,26
Cauli,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,July,28
Cauli,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,29
Cauli,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,July,30
Cauli,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,July,31
Cauli,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,June,16
Cauli,Kg,25.0,30.0,27.5,Early Summer,Vegetable,2013,June,17
Cauli,Kg,25.0,30.0,27.5,Early Summer,Vegetable,2013,June,18
Cauli,Kg,25.0,30.0,27.5,Early Summer,Vegetable,2013,June,19
Cauli,Kg,20.0,25.0,22.5,Early Summer,Vegetable,2013,June,20
Cauli,Kg,20.0,24.0,22.0,Early Summer,Vegetable,2013,June,21
Cauli,Kg,20.0,25.0,22.5,Early Summer,Vegetable,2013,June,25
