Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,1
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,2
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,4
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,5
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,6
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,7
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,8
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,13
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,14
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,15
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,16
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,18
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,19
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,20
Celery,Kg,130.0,140.0,135.0,Summer Monsoon,Vegetable,2013,August,23
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,25
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,26
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,27
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,29
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,30
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,1
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,2
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,3
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,4
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,5
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,6
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,8
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,9
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,10
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,11
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,12
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,13
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,15
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,16
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,18
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,19
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,20
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,22
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,23
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,24
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,26
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,27
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,29
Celery,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,31
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,1
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,2
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,3
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,4
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,5
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,9
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,10
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,11
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,12
Celery,Kg,120.0,130.0,125.0,Early Summer,Vegetable,2013,July,14
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,July,15
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,July,16
Celery,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,July,17
