Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Chilli Green,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,August,1
Chilli Green,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,August,2
Chilli Green,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,August,4
Chilli Green,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,August,5
Chilli Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,6
Chilli Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,7
Chilli Green,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,August,8
Chilli Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,13
Chilli Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,14
Chilli Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,15
Chilli Green,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,16
Chilli Green,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,18
Chilli Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,19
Chilli Green,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,20
Chilli Green,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,23
Chilli Green,Kg,70.0,75.0,72.5,Summer Monsoon,Vegetable,2013,August,25
Chilli Green,Kg,70.0,75.0,72.5,Summer Monsoon,Vegetable,2013,August,26
Chilli Green,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,August,27
Chilli Green,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,August,29
Chilli Green,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,30
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,1
Chilli Green,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,2
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,3
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,4
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,5
Chilli Green,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,6
Chilli Green,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,8
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,9
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,10
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,11
Chilli Green,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,12
Chilli Green,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,13
Chilli Green,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,December,15
Chilli Green,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,16
Chilli Green,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,18
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,19
Chilli Green,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,20
Chilli Green,Kg,38.0,45.0,41.5,Late Autumn,Vegetable,2013,December,22
Chilli Green,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,23
Chilli Green,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,24
Chilli Green,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,26
Chilli Green,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,27
Chilli Green,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,29
Chilli Green,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,31
Chilli Green,Kg,40.0,50.0,45.0,Early Summer,Vegetable,2013,July,1
Chilli Green,Kg,28.0,30.0,29.0,Early Summer,Vegetable,2013,July,2
Chilli Green,Kg,25.0,30.0,27.5,Early Summer,Vegetable,2013,July,3
Chilli Green,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,July,4
