Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,1
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,2
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,4
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,5
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,6
Christophine,Kg,28.0,32.0,30.0,Summer Monsoon,Vegetable,2013,August,7
Christophine,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,8
Christophine,Kg,20.0,22.0,21.0,Summer Monsoon,Vegetable,2013,August,12
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,13
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,14
Christophine,Kg,30.0,32.0,31.0,Summer Monsoon,Vegetable,2013,August,15
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,16
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,18
Christophine,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,19
Christophine,Kg,20.0,25.0,22.5,Summer Monsoon,Vegetable,2013,August,20
Christophine,Kg,18.0,20.0,19.0,Summer Monsoon,Vegetable,2013,August,23
Christophine,Kg,14.0,18.0,16.0,Summer Monsoon,Vegetable,2013,August,25
Christophine,Kg,15.0,18.0,16.5,Summer Monsoon,Vegetable,2013,August,26
Christophine,Kg,14.0,18.0,16.0,Summer Monsoon,Vegetable,2013,August,27
Christophine,Kg,15.0,18.0,16.5,Summer Monsoon,Vegetable,2013,August,29
Christophine,Kg,14.0,16.0,15.0,Summer Monsoon,Vegetable,2013,August,30
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,1
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,2
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,3
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,4
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,5
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,6
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,8
Christophine,Kg,18.0,20.0,19.0,Late Autumn,Vegetable,2013,December,9
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,10
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,11
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,12
Christophine,Kg,18.0,20.0,19.0,Late Autumn,Vegetable,2013,December,13
Christophine,Kg,18.0,20.0,19.0,Late Autumn,Vegetable,2013,December,15
Christophine,Kg,18.0,20.0,19.0,Late Autumn,Vegetable,2013,December,16
Christophine,Kg,18.0,20.0,19.0,Late Autumn,Vegetable,2013,December,18
Christophine,Kg,18.0,20.0,19.0,Late Autumn,Vegetable,2013,December,19
Christophine,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,20
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,22
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,December,23
Christophine,Kg,20.0,25.0,22.5,Late Autumn,Vegetable,2013,December,24
Christophine,Kg,20.0,22.0,21.0,Late Autumn,Vegetable,2013,December,26
Christophine,Kg,20.0,22.0,21.0,Late Autumn,Vegetable,2013,December,27
Christophine,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,29
Christophine,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,31
Christophine,Kg,40.0,42.0,41.0,Early Summer,Vegetable,2013,July,1
Christophine,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,2
Christophine,Kg,35.0,45.0,40.0,Early Summer,Vegetable,2013,July,3
Christophine,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,4
Christophine,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,5
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,9
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,10
Christophine,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,11
Christophine,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2013,July,12
Christophine,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,14
Christophine,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,15
Christophine,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,16
Christophine,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,17
Christophine,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,18
Christophine,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,19
Christophine,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,21
Christophine,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,22
Christophine,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,23
Christophine,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,24
Christophine,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,25
Christophine,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,26
Christophine,Kg,30.0,32.0,31.0,Summer Monsoon,Vegetable,2013,July,28
Christophine,Kg,28.0,32.0,30.0,Summer Monsoon,Vegetable,2013,July,29
Christophine,Kg,30.0,32.0,31.0,Summer Monsoon,Vegetable,2013,July,30
Christophine,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,31
Christophine,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2013,June,16
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,17
Christophine,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,June,18
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,19
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,20
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,21
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,25
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,26
Christophine,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2013,June,27
Christophine,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,28
Christophine,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2013,June,30
Christophine,Kg,12.0,15.0,13.5,Early Autumn,Vegetable,2013,November,1
Christophine,Kg,12.0,15.0,13.5,Early Autumn,Vegetable,2013,November,3
Christophine,Kg,20.0,25.0,22.5,Early Autumn,Vegetable,2013,November,4
Christophine,Kg,18.0,20.0,19.0,Early Autumn,Vegetable,2013,November,7
Christophine,Kg,16.0,20.0,18.0,Early Autumn,Vegetable,2013,November,10
Christophine,Kg,16.0,20.0,18.0,Early Autumn,Vegetable,2013,November,11
Christophine,Kg,16.0,18.0,17.0,Early Autumn,Vegetable,2013,November,12
Christophine,Kg,16.0,20.0,18.0,Early Autumn,Vegetable,2013,November,13
Christophine,Kg,15.0,18.0,16.5,Early Autumn,Vegetable,2013,November,14
Christophine,Kg,15.0,18.0,16.5,Late Autumn,Vegetable,2013,November,15
Christophine,Kg,14.0,16.0,15.0,Late Autumn,Vegetable,2013,November,16
Christophine,Kg,14.0,16.0,15.0,Late Autumn,Vegetable,2013,November,17
Christophine,Kg,12.0,16.0,14.0,Late Autumn,Vegetable,2013,November,18
Christophine,Kg,12.0,16.0,14.0,Late Autumn,Vegetable,2013,November,20
Christophine,Kg,18.0,20.0,19.0,Late Autumn,Vegetable,2013,November,21
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,November,22
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,November,24
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,November,25
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,November,26
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,November,27
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,November,28
Christophine,Kg,16.0,18.0,17.0,Late Autumn,Vegetable,2013,November,29
Christophine,Kg,10.0,12.0,11.0,Early Autumn,Vegetable,2013,October,1
Christophine,Kg,10.0,12.0,11.0,Early Autumn,Vegetable,2013,October,2
Christophine,Kg,8.0,10.0,9.0,Early Autumn,Vegetable,2013,October,3
Christophine,Kg,8.0,10.0,9.0,Early Autumn,Vegetable,2013,October,4
Christophine,Kg,10.0,14.0,12.0,Early Autumn,Vegetable,2013,October,6
Christophine,Kg,10.0,12.0,11.0,Early Autumn,Vegetable,2013,October,7
Christophine,Kg,10.0,12.0,11.0,Early Autumn,Vegetable,2013,October,8
Christophine,Kg,10.0,12.0,11.0,Early Autumn,Vegetable,2013,October,9
Christophine,Kg,8.0,10.0,9.0,Early Autumn,Vegetable,2013,October,10
Christophine,Kg,10.0,12.0,11.0,Early Autumn,Vegetable,2013,October,11
Christophine,Kg,10.0,15.0,12.5,Early Autumn,Vegetable,2013,October,12
Christophine,Kg,18.0,20.0,19.0,Early Autumn,Vegetable,2013,October,13
Christophine,Kg,18.0,20.0,19.0,Early Autumn,Vegetable,2013,October,14
Christophine,Kg,15.0,20.0,17.5,Early Autumn,Vegetable,2013,October,16
Christophine,Kg,18.0,20.0,19.0,Early Autumn,Vegetable,2013,October,17
Christophine,Kg,14.0,16.0,15.0,Early Autumn,Vegetable,2013,October,20
