Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,1
Clive Dry,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,August,2
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,4
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,5
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,6
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,7
Clive Dry,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,8
Clive Dry,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,13
Clive Dry,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,14
Clive Dry,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,15
Clive Dry,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,16
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,18
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,19
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,20
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,23
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,25
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,26
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,27
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,29
Clive Dry,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,30
Clive Dry,Kg,180.0,200.0,190.0,Late Autumn,Vegetable,2013,December,1
Clive Dry,Kg,180.0,200.0,190.0,Late Autumn,Vegetable,2013,December,2
Clive Dry,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,3
Clive Dry,Kg,160.0,170.0,165.0,Late Autumn,Vegetable,2013,December,4
Clive Dry,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,5
Clive Dry,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,6
Clive Dry,Kg,160.0,170.0,165.0,Late Autumn,Vegetable,2013,December,8
Clive Dry,Kg,160.0,170.0,165.0,Late Autumn,Vegetable,2013,December,9
Clive Dry,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,10
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,11
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,12
Clive Dry,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,13
Clive Dry,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,15
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,16
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,18
Clive Dry,Kg,160.0,170.0,165.0,Late Autumn,Vegetable,2013,December,19
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,20
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,22
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,23
Clive Dry,Kg,160.0,170.0,165.0,Late Autumn,Vegetable,2013,December,24
Clive Dry,Kg,140.0,150.0,145.0,Late Autumn,Vegetable,2013,December,26
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,27
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,29
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,31
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,1
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,2
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,3
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,4
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,5
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,9
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,10
Clive Dry,Kg,75.0,85.0,80.0,Summer Monsoon,Vegetable,2013,July,17
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,July,18
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,July,19
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,July,21
Clive Dry,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,July,22
Clive Dry,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,July,23
Clive Dry,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,July,24
Clive Dry,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,July,25
Clive Dry,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,July,26
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,July,28
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,July,29
Clive Dry,Kg,80.0,90.0,85.0,Summer Monsoon,Vegetable,2013,July,30
Clive Dry,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,July,31
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,16
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,17
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,18
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,19
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,20
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,21
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,25
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,26
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,27
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,28
Clive Dry,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,June,30
Clive Dry,Kg,100.0,110.0,105.0,Early Autumn,Vegetable,2013,November,1
Clive Dry,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,November,4
Clive Dry,Kg,140.0,150.0,145.0,Early Autumn,Vegetable,2013,November,10
Clive Dry,Kg,140.0,150.0,145.0,Early Autumn,Vegetable,2013,November,11
Clive Dry,Kg,140.0,150.0,145.0,Early Autumn,Vegetable,2013,November,12
Clive Dry,Kg,145.0,150.0,147.5,Early Autumn,Vegetable,2013,November,13
Clive Dry,Kg,140.0,150.0,145.0,Early Autumn,Vegetable,2013,November,14
Clive Dry,Kg,140.0,150.0,145.0,Late Autumn,Vegetable,2013,November,15
Clive Dry,Kg,140.0,150.0,145.0,Late Autumn,Vegetable,2013,November,16
Clive Dry,Kg,140.0,150.0,145.0,Late Autumn,Vegetable,2013,November,17
Clive Dry,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,November,18
