Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Coriander Green,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,1
Coriander Green,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,2
Coriander Green,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,4
Coriander Green,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,5
Coriander Green,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,6
Coriander Green,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,7
Coriander Green,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,8
Coriander Green,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,August,13
Coriander Green,Kg,130.0,140.0,135.0,Summer Monsoon,Vegetable,2013,August,14
Coriander Green,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,15
Coriander Green,Kg,140.0,150.0,145.0,Summer Monsoon,Vegetable,2013,August,16
Coriander Green,Kg,150.0,160.0,155.0,Summer Monsoon,Vegetable,2013,August,18
Coriander Green,Kg,100.0,120.0,110.0,Summer Monsoon,Vegetable,2013,August,19
Coriander Green,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,August,20
Coriander Green,Kg,150.0,160.0,155.0,Summer Monsoon,Vegetable,2013,August,23
Coriander Green,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,25
Coriander Green,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,26
Coriander Green,Kg,130.0,140.0,135.0,Summer Monsoon,Vegetable,2013,August,27
Coriander Green,Kg,120.0,140.0,130.0,Summer Monsoon,Vegetable,2013,August,29
Coriander Green,Kg,130.0,140.0,135.0,Summer Monsoon,Vegetable,2013,August,30
Coriander Green,Kg,90.0,100.0,95.0,Late Autumn,Vegetable,2013,December,1
Coriander Green,Kg,90.0,100.0,95.0,Late Autumn,Vegetable,2013,December,2
Coriander Green,Kg,80.0,100.0,90.0,Late Autumn,Vegetable,2013,December,3
Coriander Green,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,December,4
