Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Drumstick,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,December,15
Drumstick,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,16
Drumstick,Kg,45.0,50.0,47.5,Early Summer,Vegetable,2013,June,17
Drumstick,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,18
Drumstick,Kg,45.0,50.0,47.5,Early Summer,Vegetable,2013,June,20
Drumstick,Kg,45.0,50.0,47.5,Early Summer,Vegetable,2013,June,21
Drumstick,Kg,100.0,105.0,102.5,Early Autumn,Vegetable,2013,November,13
Drumstick,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,12
Drumstick,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,22
Drumstick,Kg,120.0,130.0,125.0,Spring,Vegetable,2014,April,1
Drumstick,Kg,120.0,130.0,125.0,Spring,Vegetable,2014,April,2
Drumstick,Kg,120.0,130.0,125.0,Spring,Vegetable,2014,April,3
Drumstick,Kg,130.0,160.0,145.0,Spring,Vegetable,2014,April,4
Drumstick,Kg,130.0,150.0,140.0,Spring,Vegetable,2014,April,6
Drumstick,Kg,130.0,140.0,135.0,Spring,Vegetable,2014,April,7
Drumstick,Kg,110.0,120.0,115.0,Spring,Vegetable,2014,April,9
Drumstick,Kg,100.0,110.0,105.0,Spring,Vegetable,2014,April,10
Drumstick,Kg,120.0,130.0,125.0,Spring,Vegetable,2014,April,11
Drumstick,Kg,100.0,120.0,110.0,Spring,Vegetable,2014,April,13
Drumstick,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,15
Drumstick,Kg,50.0,66.0,58.0,Spring,Vegetable,2014,April,16
Drumstick,Kg,70.0,80.0,75.0,Spring,Vegetable,2014,April,17
Drumstick,Kg,80.0,90.0,85.0,Spring,Vegetable,2014,April,18
Drumstick,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,20
Drumstick,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,21
Drumstick,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,22
Drumstick,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,23
Drumstick,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,25
Drumstick,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,27
Drumstick,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,28
Drumstick,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,29
Drumstick,Kg,50.0,55.0,52.5,Spring,Vegetable,2014,April,30
Drumstick,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,February,12
Drumstick,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,February,13
Drumstick,Kg,180.0,200.0,190.0,Winter,Vegetable,2014,February,16
Drumstick,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,February,23
Drumstick,Kg,180.0,200.0,190.0,Winter,Vegetable,2014,February,24
Drumstick,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,February,25
Drumstick,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,February,26
Drumstick,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,February,28
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,1
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,3
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,4
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,5
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,6
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,8
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,9
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,10
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,11
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,12
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,13
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,15
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,16
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,17
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,18
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,19
Drumstick,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2014,June,20
Drumstick,Kg,190.0,200.0,195.0,Winter,Vegetable,2014,March,3
Drumstick,Kg,230.0,240.0,235.0,Winter,Vegetable,2014,March,6
Drumstick,Kg,220.0,240.0,230.0,Winter,Vegetable,2014,March,7
Drumstick,Kg,220.0,230.0,225.0,Winter,Vegetable,2014,March,9
Drumstick,Kg,200.0,220.0,210.0,Winter,Vegetable,2014,March,10
Drumstick,Kg,220.0,230.0,225.0,Winter,Vegetable,2014,March,11
Drumstick,Kg,110.0,120.0,115.0,Winter,Vegetable,2014,March,12
Drumstick,Kg,110.0,120.0,115.0,Winter,Vegetable,2014,March,13
Drumstick,Kg,120.0,130.0,125.0,Winter,Vegetable,2014,March,14
