Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,1
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,2
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,4
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,5
Fenugreek Leaf,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,6
Fenugreek Leaf,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,7
Fenugreek Leaf,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,8
Fenugreek Leaf,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,12
Fenugreek Leaf,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,13
Fenugreek Leaf,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,14
Fenugreek Leaf,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,15
Fenugreek Leaf,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,16
Fenugreek Leaf,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,18
Fenugreek Leaf,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,19
Fenugreek Leaf,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,20
Fenugreek Leaf,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,23
Fenugreek Leaf,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,25
Fenugreek Leaf,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,26
Fenugreek Leaf,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,27
Fenugreek Leaf,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,29
Fenugreek Leaf,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,30
Fenugreek Leaf,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,December,1
Fenugreek Leaf,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,December,2
Fenugreek Leaf,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,3
Fenugreek Leaf,Kg,70.0,75.0,72.5,Late Autumn,Vegetable,2013,December,4
Fenugreek Leaf,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,December,5
Fenugreek Leaf,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,December,6
Fenugreek Leaf,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,8
Fenugreek Leaf,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,9
Fenugreek Leaf,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,10
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,11
Fenugreek Leaf,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,12
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,13
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,15
Fenugreek Leaf,Kg,50.0,55.0,52.5,Late Autumn,Vegetable,2013,December,16
Fenugreek Leaf,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,18
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,19
Fenugreek Leaf,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,20
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,22
Fenugreek Leaf,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,23
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,24
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,26
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,27
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,29
Fenugreek Leaf,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,31
Fenugreek Leaf,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,1
Fenugreek Leaf,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,2
Fenugreek Leaf,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,3
Fenugreek Leaf,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,4
Fenugreek Leaf,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,5
Fenugreek Leaf,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,9
Fenugreek Leaf,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,10
Fenugreek Leaf,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,11
Fenugreek Leaf,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,12
Fenugreek Leaf,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,July,14
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,15
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,16
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,17
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,18
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,19
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,21
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,22
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,23
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,24
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,25
Fenugreek Leaf,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,26
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,28
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,29
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,30
Fenugreek Leaf,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,31
Fenugreek Leaf,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,16
Fenugreek Leaf,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,June,17
