Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,August,1
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,August,2
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,August,4
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,5
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,6
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,7
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,8
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,13
Fish Fresh,Kg,210.0,230.0,220.0,Summer Monsoon,Other,2013,August,14
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,15
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,16
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,18
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,19
Fish Fresh,Kg,210.0,230.0,220.0,Summer Monsoon,Other,2013,August,20
Fish Fresh,Kg,210.0,230.0,220.0,Summer Monsoon,Other,2013,August,23
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,25
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,26
Fish Fresh,Kg,220.0,240.0,230.0,Summer Monsoon,Other,2013,August,27
Fish Fresh,Kg,210.0,230.0,220.0,Summer Monsoon,Other,2013,August,29
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,August,30
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,1
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,2
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,3
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,4
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,5
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,6
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,8
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,9
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,10
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,11
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,12
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,13
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,15
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,16
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,18
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,19
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,20
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,22
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,23
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,24
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,26
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,27
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,29
Fish Fresh,Kg,220.0,230.0,225.0,Late Autumn,Other,2013,December,31
Fish Fresh,Kg,210.0,225.0,217.5,Early Summer,Other,2013,July,1
Fish Fresh,Kg,210.0,225.0,217.5,Early Summer,Other,2013,July,2
Fish Fresh,Kg,210.0,225.0,217.5,Early Summer,Other,2013,July,3
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,July,4
Fish Fresh,Kg,210.0,250.0,230.0,Early Summer,Other,2013,July,5
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,July,9
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,July,10
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,July,11
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,July,12
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,July,14
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,15
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,16
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,17
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,18
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,19
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,21
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,22
Fish Fresh,Kg,210.0,220.0,215.0,Summer Monsoon,Other,2013,July,23
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,July,24
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,July,25
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,July,26
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,July,28
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,July,29
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,July,30
Fish Fresh,Kg,200.0,210.0,205.0,Summer Monsoon,Other,2013,July,31
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,16
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,17
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,18
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,19
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,20
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,21
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,25
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,26
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,27
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,28
Fish Fresh,Kg,210.0,220.0,215.0,Early Summer,Other,2013,June,30
Fish Fresh,Kg,220.0,240.0,230.0,Early Autumn,Other,2013,November,1
Fish Fresh,Kg,220.0,240.0,230.0,Early Autumn,Other,2013,November,3
Fish Fresh,Kg,220.0,240.0,230.0,Early Autumn,Other,2013,November,4
Fish Fresh,Kg,220.0,230.0,225.0,Early Autumn,Other,2013,November,5
Fish Fresh,Kg,220.0,230.0,225.0,Early Autumn,Other,2013,November,6
Fish Fresh,Kg,220.0,230.0,225.0,Early Autumn,Other,2013,November,7
Fish Fresh,Kg,210.0,225.0,217.5,Early Autumn,Other,2013,November,10
