Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
French Bean,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,1
French Bean,Kg,40.0,50.0,45.0,Summer Monsoon,Vegetable,2013,August,2
French Bean,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,4
French Bean,Kg,40.0,50.0,45.0,Summer Monsoon,Vegetable,2013,August,5
French Bean,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,6
French Bean,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,7
French Bean,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,8
French Bean,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,12
French Bean,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,13
French Bean,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,14
French Bean,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,15
French Bean,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,16
French Bean,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,18
French Bean,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,19
French Bean,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,20
French Bean,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,23
French Bean,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,25
French Bean,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,26
French Bean,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,27
French Bean,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,29
French Bean,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,30
French Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,1
French Bean,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,2
French Bean,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,3
French Bean,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,4
French Bean,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,5
French Bean,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,6
French Bean,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,8
French Bean,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,9
French Bean,Kg,45.0,55.0,50.0,Late Autumn,Vegetable,2013,December,10
French Bean,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,11
French Bean,Kg,50.0,55.0,52.5,Late Autumn,Vegetable,2013,December,12
French Bean,Kg,50.0,55.0,52.5,Late Autumn,Vegetable,2013,December,13
French Bean,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,15
French Bean,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,16
French Bean,Kg,50.0,55.0,52.5,Late Autumn,Vegetable,2013,December,18
French Bean,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,19
French Bean,Kg,45.0,55.0,50.0,Late Autumn,Vegetable,2013,December,20
French Bean,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,22
French Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,23
French Bean,Kg,55.0,65.0,60.0,Late Autumn,Vegetable,2013,December,24
French Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,26
French Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,27
French Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,29
French Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,31
French Bean,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2013,July,1
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,2
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,3
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,4
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,5
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,9
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,10
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,11
French Bean,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,July,12
French Bean,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,July,14
French Bean,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,15
French Bean,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,16
French Bean,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,17
French Bean,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,July,18
French Bean,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,19
French Bean,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,21
French Bean,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,22
French Bean,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,23
French Bean,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,24
French Bean,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,25
French Bean,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,26
French Bean,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,28
French Bean,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,29
French Bean,Kg,35.0,40.0,37.5,Summer Monsoon,Vegetable,2013,July,30
French Bean,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,July,31
French Bean,Kg,25.0,30.0,27.5,Early Summer,Vegetable,2013,June,16
French Bean,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,June,17
French Bean,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,June,18
French Bean,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,June,19
French Bean,Kg,30.0,40.0,35.0,Early Summer,Vegetable,2013,June,20
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,21
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,25
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,26
French Bean,Kg,38.0,42.0,40.0,Early Summer,Vegetable,2013,June,27
French Bean,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,28
French Bean,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2013,June,30
French Bean,Kg,55.0,60.0,57.5,Early Autumn,Vegetable,2013,November,1
French Bean,Kg,40.0,50.0,45.0,Early Autumn,Vegetable,2013,November,3
French Bean,Kg,50.0,60.0,55.0,Early Autumn,Vegetable,2013,November,4
French Bean,Kg,40.0,50.0,45.0,Early Autumn,Vegetable,2013,November,5
French Bean,Kg,55.0,60.0,57.5,Early Autumn,Vegetable,2013,November,6
French Bean,Kg,60.0,70.0,65.0,Early Autumn,Vegetable,2013,November,7
French Bean,Kg,45.0,50.0,47.5,Early Autumn,Vegetable,2013,November,10
French Bean,Kg,40.0,50.0,45.0,Early Autumn,Vegetable,2013,November,11
