Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Garlic,Kg,61.67,70.0,65.83,Summer Monsoon,Vegetable,2013,August,1
Garlic,Kg,61.67,70.0,65.83,Summer Monsoon,Vegetable,2013,August,2
Garlic,Kg,55.0,63.33,59.17,Summer Monsoon,Vegetable,2013,August,4
Garlic,Kg,58.33,65.0,61.67,Summer Monsoon,Vegetable,2013,August,5
Garlic,Kg,56.67,63.33,60.0,Summer Monsoon,Vegetable,2013,August,6
Garlic,Kg,61.67,68.33,65.0,Summer Monsoon,Vegetable,2013,August,7
Garlic,Kg,57.67,64.0,60.83,Summer Monsoon,Vegetable,2013,August,8
Garlic,Kg,58.33,63.33,60.83,Summer Monsoon,Vegetable,2013,August,13
Garlic,Kg,58.33,65.0,61.67,Summer Monsoon,Vegetable,2013,August,14
Garlic,Kg,61.67,66.67,64.17,Summer Monsoon,Vegetable,2013,August,15
Garlic,Kg,61.67,66.67,64.17,Summer Monsoon,Vegetable,2013,August,16
Garlic,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,18
Garlic,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,19
Garlic,Kg,56.67,61.67,59.17,Summer Monsoon,Vegetable,2013,August,20
Garlic,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,23
Garlic,Kg,65.0,70.0,67.5,Summer Monsoon,Vegetable,2013,August,25
Garlic,Kg,63.33,68.33,65.83,Summer Monsoon,Vegetable,2013,August,26
Garlic,Kg,61.67,66.67,64.17,Summer Monsoon,Vegetable,2013,August,27
Garlic,Kg,61.67,66.67,64.17,Summer Monsoon,Vegetable,2013,August,29
Garlic,Kg,63.33,71.67,67.5,Summer Monsoon,Vegetable,2013,August,30
Garlic,Kg,81.67,90.0,85.83,Late Autumn,Vegetable,2013,December,1
Garlic,Kg,83.33,90.0,86.67,Late Autumn,Vegetable,2013,December,2
Garlic,Kg,88.33,95.0,91.67,Late Autumn,Vegetable,2013,December,3
Garlic,Kg,88.33,95.0,91.67,Late Autumn,Vegetable,2013,December,4
Garlic,Kg,83.33,90.0,86.67,Late Autumn,Vegetable,2013,December,5
Garlic,Kg,83.33,88.33,85.83,Late Autumn,Vegetable,2013,December,6
Garlic,Kg,81.67,90.0,85.83,Late Autumn,Vegetable,2013,December,8
Garlic,Kg,80.0,86.67,83.33,Late Autumn,Vegetable,2013,December,9
Garlic,Kg,81.67,86.67,84.17,Late Autumn,Vegetable,2013,December,10
Garlic,Kg,81.67,86.67,84.17,Late Autumn,Vegetable,2013,December,11
Garlic,Kg,88.33,93.33,90.83,Late Autumn,Vegetable,2013,December,12
Garlic,Kg,81.67,86.67,84.17,Late Autumn,Vegetable,2013,December,13
Garlic,Kg,81.67,88.33,85.0,Late Autumn,Vegetable,2013,December,15
Garlic,Kg,81.67,90.0,85.83,Late Autumn,Vegetable,2013,December,16
Garlic,Kg,80.0,86.67,83.33,Late Autumn,Vegetable,2013,December,18
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,19
Garlic,Kg,86.67,91.67,89.17,Late Autumn,Vegetable,2013,December,20
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,22
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,23
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,24
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,26
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,27
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,29
Garlic,Kg,80.0,85.0,82.5,Late Autumn,Vegetable,2013,December,31
Garlic,Kg,65.0,72.5,68.75,Early Summer,Vegetable,2013,July,1
Garlic,Kg,58.33,66.67,62.5,Early Summer,Vegetable,2013,July,2
Garlic,Kg,58.33,66.67,62.5,Early Summer,Vegetable,2013,July,3
Garlic,Kg,58.33,66.67,62.5,Early Summer,Vegetable,2013,July,4
Garlic,Kg,58.33,66.67,62.5,Early Summer,Vegetable,2013,July,5
Garlic,Kg,65.0,73.33,69.17,Early Summer,Vegetable,2013,July,9
Garlic,Kg,68.33,76.67,72.5,Early Summer,Vegetable,2013,July,10
Garlic,Kg,68.33,76.67,72.5,Early Summer,Vegetable,2013,July,11
Garlic,Kg,60.0,68.33,64.17,Early Summer,Vegetable,2013,July,12
Garlic,Kg,63.33,71.67,67.5,Early Summer,Vegetable,2013,July,14
Garlic,Kg,63.33,70.0,66.67,Summer Monsoon,Vegetable,2013,July,15
Garlic,Kg,60.0,66.67,63.33,Summer Monsoon,Vegetable,2013,July,16
Garlic,Kg,58.33,65.0,61.67,Summer Monsoon,Vegetable,2013,July,17
Garlic,Kg,60.0,66.67,63.33,Summer Monsoon,Vegetable,2013,July,18
Garlic,Kg,56.67,63.33,60.0,Summer Monsoon,Vegetable,2013,July,19
Garlic,Kg,60.0,66.67,63.33,Summer Monsoon,Vegetable,2013,July,21
Garlic,Kg,60.0,66.67,63.33,Summer Monsoon,Vegetable,2013,July,22
Garlic,Kg,60.0,66.67,63.33,Summer Monsoon,Vegetable,2013,July,23
Garlic,Kg,63.33,70.0,66.67,Summer Monsoon,Vegetable,2013,July,24
Garlic,Kg,58.33,66.67,62.5,Summer Monsoon,Vegetable,2013,July,25
Garlic,Kg,60.0,66.67,63.33,Summer Monsoon,Vegetable,2013,July,26
Garlic,Kg,60.0,66.67,63.33,Summer Monsoon,Vegetable,2013,July,28
Garlic,Kg,61.67,70.0,65.83,Summer Monsoon,Vegetable,2013,July,29
Garlic,Kg,61.67,70.0,65.83,Summer Monsoon,Vegetable,2013,July,30
Garlic,Kg,65.0,73.33,69.17,Summer Monsoon,Vegetable,2013,July,31
Garlic,Kg,65.0,73.33,69.17,Early Summer,Vegetable,2013,June,16
Garlic,Kg,65.0,73.33,69.17,Early Summer,Vegetable,2013,June,17
Garlic,Kg,65.0,73.33,69.17,Early Summer,Vegetable,2013,June,18
Garlic,Kg,65.0,73.33,69.17,Early Summer,Vegetable,2013,June,19
