Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Gourd,Kg,21.83,26.33,24.08,Summer Monsoon,Vegetable,2013,August,1
Gourd,Kg,23.67,28.5,26.08,Summer Monsoon,Vegetable,2013,August,2
Gourd,Kg,25.67,30.17,27.92,Summer Monsoon,Vegetable,2013,August,4
Gourd,Kg,26.17,30.33,28.25,Summer Monsoon,Vegetable,2013,August,5
Gourd,Kg,30.67,33.83,32.25,Summer Monsoon,Vegetable,2013,August,6
Gourd,Kg,30.83,35.83,33.33,Summer Monsoon,Vegetable,2013,August,7
Gourd,Kg,29.17,34.17,31.67,Summer Monsoon,Vegetable,2013,August,8
Gourd,Kg,21.8,25.4,23.6,Summer Monsoon,Vegetable,2013,August,12
Gourd,Kg,27.17,31.67,29.42,Summer Monsoon,Vegetable,2013,August,13
Gourd,Kg,29.17,33.83,31.5,Summer Monsoon,Vegetable,2013,August,14
Gourd,Kg,33.33,38.33,35.83,Summer Monsoon,Vegetable,2013,August,15
Gourd,Kg,30.83,36.67,33.75,Summer Monsoon,Vegetable,2013,August,16
Gourd,Kg,29.67,33.5,31.58,Summer Monsoon,Vegetable,2013,August,18
Gourd,Kg,30.83,35.83,33.33,Summer Monsoon,Vegetable,2013,August,19
Gourd,Kg,30.67,33.67,32.17,Summer Monsoon,Vegetable,2013,August,20
Gourd,Kg,29.83,33.5,31.67,Summer Monsoon,Vegetable,2013,August,23
Gourd,Kg,28.33,32.83,30.58,Summer Monsoon,Vegetable,2013,August,25
Gourd,Kg,29.67,34.33,32.0,Summer Monsoon,Vegetable,2013,August,26
Gourd,Kg,27.67,31.67,29.67,Summer Monsoon,Vegetable,2013,August,27
Gourd,Kg,26.0,30.0,28.0,Summer Monsoon,Vegetable,2013,August,29
Gourd,Kg,24.67,29.17,26.92,Summer Monsoon,Vegetable,2013,August,30
Gourd,Kg,56.67,66.67,61.67,Late Autumn,Vegetable,2013,December,1
Gourd,Kg,48.33,56.67,52.5,Late Autumn,Vegetable,2013,December,2
Gourd,Kg,56.0,64.5,60.25,Late Autumn,Vegetable,2013,December,3
Gourd,Kg,53.33,60.0,56.67,Late Autumn,Vegetable,2013,December,4
Gourd,Kg,53.33,60.0,56.67,Late Autumn,Vegetable,2013,December,5
Gourd,Kg,58.33,66.67,62.5,Late Autumn,Vegetable,2013,December,6
Gourd,Kg,50.0,57.5,53.75,Late Autumn,Vegetable,2013,December,8
Gourd,Kg,45.0,52.5,48.75,Late Autumn,Vegetable,2013,December,9
Gourd,Kg,52.5,57.5,55.0,Late Autumn,Vegetable,2013,December,10
Gourd,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,11
Gourd,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,12
Gourd,Kg,52.5,60.0,56.25,Late Autumn,Vegetable,2013,December,13
Gourd,Kg,101.67,110.0,105.83,Late Autumn,Vegetable,2013,December,15
Gourd,Kg,57.5,65.0,61.25,Late Autumn,Vegetable,2013,December,16
Gourd,Kg,88.33,98.33,93.33,Late Autumn,Vegetable,2013,December,18
Gourd,Kg,88.33,96.67,92.5,Late Autumn,Vegetable,2013,December,19
Gourd,Kg,78.33,86.67,82.5,Late Autumn,Vegetable,2013,December,20
Gourd,Kg,62.5,70.0,66.25,Late Autumn,Vegetable,2013,December,22
Gourd,Kg,101.67,110.0,105.83,Late Autumn,Vegetable,2013,December,23
Gourd,Kg,81.67,90.0,85.83,Late Autumn,Vegetable,2013,December,24
Gourd,Kg,55.0,65.0,60.0,Late Autumn,Vegetable,2013,December,26
Gourd,Kg,57.5,65.0,61.25,Late Autumn,Vegetable,2013,December,27
Gourd,Kg,57.5,65.0,61.25,Late Autumn,Vegetable,2013,December,29
Gourd,Kg,75.0,83.33,79.17,Late Autumn,Vegetable,2013,December,31
Gourd,Kg,30.0,35.0,32.5,Early Summer,Vegetable,2013,July,1
Gourd,Kg,30.5,35.33,32.92,Early Summer,Vegetable,2013,July,2
Gourd,Kg,29.67,34.5,32.08,Early Summer,Vegetable,2013,July,3
Gourd,Kg,30.83,35.33,33.08,Early Summer,Vegetable,2013,July,4
Gourd,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,5
