Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Grapes,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,December,1
Grapes,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,December,2
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,3
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,4
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,5
Grapes,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,December,6
Grapes,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,December,8
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,9
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,10
Grapes,Kg,220.0,230.0,225.0,Late Autumn,Fruit,2013,December,11
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,12
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,13
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,15
Grapes,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,16
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,18
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,19
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,20
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,22
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,23
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,24
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,26
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,27
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,29
Grapes,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2013,December,31
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,1
Grapes,Kg,230.0,250.0,240.0,Early Summer,Fruit,2013,July,2
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,3
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,4
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,5
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,9
Grapes,Kg,250.0,270.0,260.0,Early Summer,Fruit,2013,July,10
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,11
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,12
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,July,14
Grapes,Kg,250.0,260.0,255.0,Summer Monsoon,Fruit,2013,July,15
Grapes,Kg,250.0,300.0,275.0,Summer Monsoon,Fruit,2013,July,16
Grapes,Kg,250.0,260.0,255.0,Summer Monsoon,Fruit,2013,July,17
Grapes,Kg,250.0,260.0,255.0,Summer Monsoon,Fruit,2013,July,18
Grapes,Kg,250.0,300.0,275.0,Summer Monsoon,Fruit,2013,July,19
Grapes,Kg,250.0,300.0,275.0,Summer Monsoon,Fruit,2013,July,21
Grapes,Kg,250.0,300.0,275.0,Summer Monsoon,Fruit,2013,July,22
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,16
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,17
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,18
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,19
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,20
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,21
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,25
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,26
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,27
Grapes,Kg,250.0,260.0,255.0,Early Summer,Fruit,2013,June,28
Grapes,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,November,20
Grapes,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,1
