Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Green Peas,Kg,90.0,100.0,95.0,Summer Monsoon,Vegetable,2013,August,2
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,1
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,2
Green Peas,Kg,60.0,70.0,65.0,Late Autumn,Vegetable,2013,December,3
Green Peas,Kg,60.0,70.0,65.0,Late Autumn,Vegetable,2013,December,4
Green Peas,Kg,60.0,70.0,65.0,Late Autumn,Vegetable,2013,December,5
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,6
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,8
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,9
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,10
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,11
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,12
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,13
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,15
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,16
Green Peas,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,December,18
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,December,19
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,December,20
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,December,22
Green Peas,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,23
Green Peas,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,24
Green Peas,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,26
Green Peas,Kg,40.0,44.0,42.0,Late Autumn,Vegetable,2013,December,27
Green Peas,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,29
Green Peas,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,31
Green Peas,Kg,130.0,140.0,135.0,Summer Monsoon,Vegetable,2013,July,22
Green Peas,Kg,140.0,150.0,145.0,Summer Monsoon,Vegetable,2013,July,25
Green Peas,Kg,140.0,150.0,145.0,Summer Monsoon,Vegetable,2013,July,26
Green Peas,Kg,130.0,140.0,135.0,Summer Monsoon,Vegetable,2013,July,28
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,16
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,17
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,18
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,19
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,20
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,21
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,25
Green Peas,Kg,55.0,60.0,57.5,Early Summer,Vegetable,2013,June,26
Green Peas,Kg,90.0,100.0,95.0,Early Autumn,Vegetable,2013,November,1
Green Peas,Kg,80.0,90.0,85.0,Early Autumn,Vegetable,2013,November,3
Green Peas,Kg,90.0,100.0,95.0,Early Autumn,Vegetable,2013,November,4
Green Peas,Kg,140.0,150.0,145.0,Early Autumn,Vegetable,2013,November,6
Green Peas,Kg,120.0,130.0,125.0,Early Autumn,Vegetable,2013,November,7
Green Peas,Kg,70.0,80.0,75.0,Early Autumn,Vegetable,2013,November,10
Green Peas,Kg,60.0,70.0,65.0,Early Autumn,Vegetable,2013,November,11
Green Peas,Kg,50.0,60.0,55.0,Early Autumn,Vegetable,2013,November,12
Green Peas,Kg,60.0,75.0,67.5,Early Autumn,Vegetable,2013,November,13
Green Peas,Kg,60.0,75.0,67.5,Early Autumn,Vegetable,2013,November,14
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,November,15
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,November,16
Green Peas,Kg,85.0,95.0,90.0,Late Autumn,Vegetable,2013,November,17
Green Peas,Kg,75.0,90.0,82.5,Late Autumn,Vegetable,2013,November,18
Green Peas,Kg,100.0,120.0,110.0,Late Autumn,Vegetable,2013,November,20
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,November,21
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,November,22
Green Peas,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,November,24
Green Peas,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,November,25
Green Peas,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,November,26
Green Peas,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,November,27
Green Peas,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,November,28
Green Peas,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,November,29
Green Peas,Kg,150.0,160.0,155.0,Early Autumn,Vegetable,2013,October,1
Green Peas,Kg,120.0,140.0,130.0,Early Autumn,Vegetable,2013,October,2
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,3
Green Peas,Kg,110.0,130.0,120.0,Early Autumn,Vegetable,2013,October,4
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,6
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,7
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,8
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,9
Green Peas,Kg,80.0,90.0,85.0,Early Autumn,Vegetable,2013,October,10
Green Peas,Kg,100.0,110.0,105.0,Early Autumn,Vegetable,2013,October,11
Green Peas,Kg,100.0,110.0,105.0,Early Autumn,Vegetable,2013,October,12
Green Peas,Kg,120.0,130.0,125.0,Early Autumn,Vegetable,2013,October,14
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,15
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,16
Green Peas,Kg,110.0,120.0,115.0,Early Autumn,Vegetable,2013,October,17
Green Peas,Kg,100.0,110.0,105.0,Early Autumn,Vegetable,2013,October,20
Green Peas,Kg,80.0,100.0,90.0,Early Autumn,Vegetable,2013,October,21
Green Peas,Kg,100.0,110.0,105.0,Early Autumn,Vegetable,2013,October,22
Green Peas,Kg,80.0,90.0,85.0,Early Autumn,Vegetable,2013,October,23
Green Peas,Kg,90.0,100.0,95.0,Early Autumn,Vegetable,2013,October,24
Green Peas,Kg,90.0,100.0,95.0,Early Autumn,Vegetable,2013,October,25
Green Peas,Kg,100.0,110.0,105.0,Early Autumn,Vegetable,2013,October,27
Green Peas,Kg,90.0,100.0,95.0,Early Autumn,Vegetable,2013,October,28
Green Peas,Kg,100.0,120.0,110.0,Early Autumn,Vegetable,2013,October,29
Green Peas,Kg,100.0,110.0,105.0,Early Autumn,Vegetable,2013,October,30
Green Peas,Kg,90.0,100.0,95.0,Early Autumn,Vegetable,2013,October,31
Green Peas,Kg,38.0,45.0,41.5,Spring,Vegetable,2014,April,1
Green Peas,Kg,40.0,50.0,45.0,Spring,Vegetable,2014,April,2
Green Peas,Kg,40.0,46.0,43.0,Spring,Vegetable,2014,April,3
Green Peas,Kg,40.0,50.0,45.0,Spring,Vegetable,2014,April,4
Green Peas,Kg,38.0,45.0,41.5,Spring,Vegetable,2014,April,6
Green Peas,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,7
Green Peas,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,9
Green Peas,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,10
Green Peas,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,11
Green Peas,Kg,38.0,42.0,40.0,Spring,Vegetable,2014,April,13
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,15
Green Peas,Kg,50.0,55.0,52.5,Spring,Vegetable,2014,April,16
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,17
Green Peas,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,18
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,20
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,21
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,22
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,23
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,25
Green Peas,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,27
Green Peas,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,28
Green Peas,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,29
Green Peas,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,30
Green Peas,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2014,August,29
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2014,December,1
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2014,December,2
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2014,December,3
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2014,December,4
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2014,December,5
Green Peas,Kg,90.0,100.0,95.0,Late Autumn,Vegetable,2014,December,6
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2014,December,7
Green Peas,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2014,December,8
Green Peas,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2014,December,9
Green Peas,Kg,65.0,70.0,67.5,Late Autumn,Vegetable,2014,December,10
Green Peas,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2014,December,11
Green Peas,Kg,50.0,55.0,52.5,Late Autumn,Vegetable,2014,December,12
Green Peas,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2014,December,13
Green Peas,Kg,50.0,55.0,52.5,Late Autumn,Vegetable,2014,December,14
Green Peas,Kg,55.0,65.0,60.0,Late Autumn,Vegetable,2014,December,15
