Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,14
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,15
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,16
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,18
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,19
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,20
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,23
Guava,Kg,30.0,35.0,32.5,Summer Monsoon,Other,2013,August,25
Guava,Kg,35.0,40.0,37.5,Summer Monsoon,Other,2013,August,26
Guava,Kg,30.0,35.0,32.5,Summer Monsoon,Other,2013,August,27
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,August,29
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,August,30
Guava,Kg,50.0,60.0,55.0,Late Autumn,Other,2013,December,9
Guava,Kg,55.0,60.0,57.5,Late Autumn,Other,2013,December,10
Guava,Kg,60.0,65.0,62.5,Summer Monsoon,Other,2013,July,25
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,November,1
Guava,Kg,55.0,60.0,57.5,Early Autumn,Other,2013,November,3
Guava,Kg,40.0,50.0,45.0,Early Autumn,Other,2013,November,4
Guava,Kg,50.0,60.0,55.0,Late Autumn,Other,2013,November,29
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,1
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,2
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,3
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,4
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,6
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,7
Guava,Kg,30.0,35.0,32.5,Early Autumn,Other,2013,October,8
Guava,Kg,30.0,35.0,32.5,Early Autumn,Other,2013,October,9
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,October,10
Guava,Kg,30.0,35.0,32.5,Early Autumn,Other,2013,October,11
Guava,Kg,30.0,35.0,32.5,Early Autumn,Other,2013,October,12
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,16
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,17
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,20
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,21
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,22
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,23
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,24
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,25
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,27
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,28
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,29
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,30
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,October,31
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,1
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,2
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,3
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,4
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,5
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,6
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,8
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,9
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,10
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,11
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,12
Guava,Kg,25.0,30.0,27.5,Summer Monsoon,Other,2013,September,13
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,15
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,16
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,17
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,19
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,20
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,22
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,23
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,24
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,25
Guava,Kg,25.0,30.0,27.5,Early Autumn,Other,2013,September,26
Guava,Kg,30.0,35.0,32.5,Early Autumn,Other,2013,September,27
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,September,29
Guava,Kg,35.0,40.0,37.5,Early Autumn,Other,2013,September,30
Guava,Kg,30.0,35.0,32.5,Summer Monsoon,Other,2014,August,8
Guava,Kg,30.0,35.0,32.5,Summer Monsoon,Other,2014,August,9
Guava,Kg,30.0,35.0,32.5,Summer Monsoon,Other,2014,August,10
Guava,Kg,40.0,50.0,45.0,Summer Monsoon,Other,2014,August,12
