Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,1
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,2
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,4
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,5
Jack Fruit,Kg,15.0,20.0,17.5,Summer Monsoon,Fruit,2013,August,7
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,8
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,13
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,14
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,15
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,16
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,August,18
Jack Fruit,Kg,18.0,20.0,19.0,Summer Monsoon,Fruit,2013,August,19
Jack Fruit,Kg,15.0,20.0,17.5,Summer Monsoon,Fruit,2013,August,20
Jack Fruit,Kg,18.0,20.0,19.0,Summer Monsoon,Fruit,2013,August,23
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2013,August,25
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2013,August,26
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2013,August,27
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2013,August,29
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2013,August,30
Jack Fruit,Kg,130.0,140.0,135.0,Late Autumn,Fruit,2013,December,9
Jack Fruit,Kg,130.0,140.0,135.0,Late Autumn,Fruit,2013,December,10
Jack Fruit,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2013,December,20
Jack Fruit,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2013,December,22
Jack Fruit,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2013,December,23
Jack Fruit,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2013,December,24
Jack Fruit,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2013,December,26
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,27
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2013,December,29
Jack Fruit,Kg,100.0,110.0,105.0,Late Autumn,Fruit,2013,December,31
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,July,1
Jack Fruit,Kg,20.0,150.0,85.0,Early Summer,Fruit,2013,July,2
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,July,3
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,July,4
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,July,5
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,July,9
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,July,10
Jack Fruit,Kg,15.0,18.0,16.5,Early Summer,Fruit,2013,July,11
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,July,12
Jack Fruit,Kg,14.0,16.0,15.0,Early Summer,Fruit,2013,July,14
Jack Fruit,Kg,15.0,16.0,15.5,Summer Monsoon,Fruit,2013,July,15
Jack Fruit,Kg,15.0,20.0,17.5,Summer Monsoon,Fruit,2013,July,16
Jack Fruit,Kg,18.0,20.0,19.0,Summer Monsoon,Fruit,2013,July,17
Jack Fruit,Kg,15.0,20.0,17.5,Summer Monsoon,Fruit,2013,July,18
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,19
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,21
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,22
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,23
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,24
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,25
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,26
Jack Fruit,Kg,15.0,130.0,72.5,Summer Monsoon,Fruit,2013,July,28
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,30
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2013,July,31
Jack Fruit,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,June,16
Jack Fruit,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,June,17
Jack Fruit,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,June,18
Jack Fruit,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,June,19
Jack Fruit,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,June,20
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,June,21
Jack Fruit,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,June,25
Jack Fruit,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,June,26
Jack Fruit,Kg,18.0,20.0,19.0,Early Summer,Fruit,2013,June,27
Jack Fruit,Kg,18.0,20.0,19.0,Early Summer,Fruit,2013,June,28
Jack Fruit,Kg,15.0,20.0,17.5,Early Summer,Fruit,2013,June,30
Jack Fruit,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2013,November,29
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2013,September,8
Jack Fruit,Kg,65.0,70.0,67.5,Spring,Fruit,2014,April,1
Jack Fruit,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,2
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,3
Jack Fruit,Kg,50.0,55.0,52.5,Spring,Fruit,2014,April,4
Jack Fruit,Kg,50.0,55.0,52.5,Spring,Fruit,2014,April,6
Jack Fruit,Kg,50.0,55.0,52.5,Spring,Fruit,2014,April,7
Jack Fruit,Kg,45.0,50.0,47.5,Spring,Fruit,2014,April,9
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,10
Jack Fruit,Kg,50.0,55.0,52.5,Spring,Fruit,2014,April,11
Jack Fruit,Kg,45.0,50.0,47.5,Spring,Fruit,2014,April,13
Jack Fruit,Kg,45.0,50.0,47.5,Spring,Fruit,2014,April,15
Jack Fruit,Kg,40.0,45.0,42.5,Spring,Fruit,2014,April,16
Jack Fruit,Kg,40.0,50.0,45.0,Spring,Fruit,2014,April,17
Jack Fruit,Kg,45.0,50.0,47.5,Spring,Fruit,2014,April,18
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,20
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,21
Jack Fruit,Kg,40.0,45.0,42.5,Spring,Fruit,2014,April,22
Jack Fruit,Kg,40.0,50.0,45.0,Spring,Fruit,2014,April,23
Jack Fruit,Kg,40.0,50.0,45.0,Spring,Fruit,2014,April,25
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,27
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,28
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,29
Jack Fruit,Kg,50.0,60.0,55.0,Spring,Fruit,2014,April,30
Jack Fruit,Kg,12.0,15.0,13.5,Summer Monsoon,Fruit,2014,August,1
Jack Fruit,Kg,15.0,18.0,16.5,Summer Monsoon,Fruit,2014,August,2
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,3
Jack Fruit,Kg,20.0,22.0,21.0,Summer Monsoon,Fruit,2014,August,4
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,5
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,6
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,7
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,8
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,9
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,10
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,11
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,12
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,13
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,14
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,15
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,16
Jack Fruit,Kg,20.0,25.0,22.5,Summer Monsoon,Fruit,2014,August,17
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,18
Jack Fruit,Kg,25.0,28.0,26.5,Summer Monsoon,Fruit,2014,August,19
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,21
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,22
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,23
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,24
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,25
Jack Fruit,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,26
Jack Fruit,Kg,38.0,40.0,39.0,Summer Monsoon,Fruit,2014,August,27
Jack Fruit,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2014,August,28
Jack Fruit,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2014,August,29
Jack Fruit,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2014,August,31
Jack Fruit,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2014,December,1
Jack Fruit,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2014,December,2
Jack Fruit,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2014,December,3
Jack Fruit,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2014,December,4
Jack Fruit,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2014,December,7
Jack Fruit,Kg,70.0,75.0,72.5,Late Autumn,Fruit,2014,December,8
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,December,12
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,December,13
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,December,14
Jack Fruit,Kg,75.0,80.0,77.5,Late Autumn,Fruit,2014,December,22
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,December,23
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,December,24
Jack Fruit,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2014,December,25
Jack Fruit,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2014,December,26
Jack Fruit,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2014,December,27
Jack Fruit,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2014,December,28
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,December,29
Jack Fruit,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2014,December,30
Jack Fruit,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2014,December,31
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,2
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,3
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,4
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,5
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,6
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,7
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,9
Jack Fruit,Kg,50.0,70.0,60.0,Winter,Fruit,2014,February,10
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,11
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,12
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,13
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,14
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,16
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,17
Jack Fruit,Kg,70.0,80.0,75.0,Winter,Fruit,2014,February,18
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,20
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,21
Jack Fruit,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,23
Jack Fruit,Kg,70.0,80.0,75.0,Winter,Fruit,2014,February,24
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,25
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,26
Jack Fruit,Kg,60.0,70.0,65.0,Winter,Fruit,2014,February,28
Jack Fruit,Kg,105.0,120.0,112.5,Late Autumn,Fruit,2014,January,1
Jack Fruit,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2014,January,2
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,January,3
Jack Fruit,Kg,90.0,100.0,95.0,Late Autumn,Fruit,2014,January,5
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,January,6
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,January,7
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,January,8
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,January,9
Jack Fruit,Kg,70.0,80.0,75.0,Late Autumn,Fruit,2014,January,10
