Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Kinnow,Kg,60.0,65.0,62.5,Spring,Fruit,2014,April,1
Kinnow,Kg,60.0,65.0,62.5,Spring,Fruit,2014,April,2
Kinnow,Kg,60.0,65.0,62.5,Spring,Fruit,2014,April,3
Kinnow,Kg,65.0,70.0,67.5,Spring,Fruit,2014,April,4
Kinnow,Kg,65.0,70.0,67.5,Spring,Fruit,2014,April,6
Kinnow,Kg,65.0,70.0,67.5,Spring,Fruit,2014,April,7
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,9
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,10
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,11
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,13
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,15
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,16
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,17
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,April,18
Kinnow,Kg,80.0,90.0,85.0,Spring,Fruit,2014,April,25
Kinnow,Kg,55.0,60.0,57.5,Late Autumn,Fruit,2014,December,26
Kinnow,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,27
Kinnow,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,28
Kinnow,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,29
Kinnow,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2014,December,30
Kinnow,Kg,60.0,70.0,65.0,Late Autumn,Fruit,2014,December,31
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,2
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,3
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,4
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,5
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,6
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,7
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,9
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,10
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,11
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,12
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,13
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,14
Kinnow,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,16
Kinnow,Kg,50.0,55.0,52.5,Winter,Fruit,2014,February,17
Kinnow,Kg,50.0,55.0,52.5,Winter,Fruit,2014,February,18
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,February,20
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,February,21
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,February,23
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,February,24
Kinnow,Kg,50.0,60.0,55.0,Winter,Fruit,2014,February,25
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,February,26
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,February,28
Kinnow,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2014,January,7
Kinnow,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,8
Kinnow,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,9
Kinnow,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,10
Kinnow,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,12
Kinnow,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,13
Kinnow,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,14
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,16
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,17
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,19
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,20
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,21
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,22
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,23
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,24
Kinnow,Kg,50.0,55.0,52.5,Winter,Fruit,2014,January,26
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,January,27
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,28
Kinnow,Kg,45.0,50.0,47.5,Winter,Fruit,2014,January,29
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,3
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,5
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,6
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,7
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,9
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,10
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,11
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,12
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,13
Kinnow,Kg,55.0,60.0,57.5,Winter,Fruit,2014,March,14
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,March,17
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,18
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,19
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,20
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,21
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,23
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,24
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2014,March,25
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,26
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,27
Kinnow,Kg,55.0,60.0,57.5,Spring,Fruit,2014,March,28
Kinnow,Kg,60.0,65.0,62.5,Spring,Fruit,2014,March,31
Kinnow,Kg,60.0,65.0,62.5,Spring,Fruit,2015,April,1
Kinnow,Kg,40.0,45.0,42.5,Spring,Fruit,2015,April,2
Kinnow,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,3
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2015,April,4
Kinnow,Kg,60.0,70.0,65.0,Spring,Fruit,2015,April,5
Kinnow,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,6
Kinnow,Kg,40.0,50.0,45.0,Spring,Fruit,2015,April,7
Kinnow,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,8
Kinnow,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,10
Kinnow,Kg,70.0,75.0,72.5,Spring,Fruit,2015,April,12
Kinnow,Kg,70.0,75.0,72.5,Spring,Fruit,2015,April,13
Kinnow,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,14
Kinnow,Kg,70.0,80.0,75.0,Spring,Fruit,2015,April,15
