Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,1
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,2
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,3
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,4
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,5
Kiwi,Kg,150.0,160.0,155.0,Late Autumn,Fruit,2020,December,6
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,7
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,8
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,9
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,10
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,11
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,12
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,13
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,14
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,15
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,16
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,17
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,18
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,19
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,20
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,21
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,22
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,23
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,24
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,25
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,26
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,27
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,28
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,29
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,December,30
Kiwi,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2020,December,31
Kiwi,Kg,250.0,280.0,265.0,Early Autumn,Fruit,2020,November,2
Kiwi,Kg,200.0,250.0,225.0,Early Autumn,Fruit,2020,November,3
Kiwi,Kg,200.0,250.0,225.0,Early Autumn,Fruit,2020,November,4
Kiwi,Kg,200.0,250.0,225.0,Early Autumn,Fruit,2020,November,5
Kiwi,Kg,200.0,250.0,225.0,Early Autumn,Fruit,2020,November,6
Kiwi,Kg,200.0,250.0,225.0,Early Autumn,Fruit,2020,November,7
Kiwi,Kg,250.0,300.0,275.0,Early Autumn,Fruit,2020,November,8
Kiwi,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2020,November,9
Kiwi,Kg,180.0,200.0,190.0,Early Autumn,Fruit,2020,November,10
Kiwi,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2020,November,11
Kiwi,Kg,180.0,200.0,190.0,Early Autumn,Fruit,2020,November,12
Kiwi,Kg,180.0,200.0,190.0,Early Autumn,Fruit,2020,November,13
Kiwi,Kg,180.0,200.0,190.0,Early Autumn,Fruit,2020,November,14
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,15
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,16
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,17
Kiwi,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2020,November,18
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,19
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,20
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,22
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,23
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,24
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,25
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,26
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,27
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,28
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,29
Kiwi,Kg,180.0,200.0,190.0,Late Autumn,Fruit,2020,November,30
Kiwi,Kg,240.0,250.0,245.0,Early Autumn,Fruit,2020,October,21
Kiwi,Kg,240.0,250.0,245.0,Early Autumn,Fruit,2020,October,22
Kiwi,Kg,250.0,300.0,275.0,Early Autumn,Fruit,2020,October,23
Kiwi,Kg,250.0,300.0,275.0,Early Autumn,Fruit,2020,October,24
Kiwi,Kg,250.0,300.0,275.0,Early Autumn,Fruit,2020,October,25
Kiwi,Kg,250.0,300.0,275.0,Early Autumn,Fruit,2020,October,26
Kiwi,Kg,250.0,280.0,265.0,Early Autumn,Fruit,2020,October,27
Kiwi,Kg,350.0,400.0,375.0,Spring,Fruit,2021,April,1
Kiwi,Kg,350.0,400.0,375.0,Spring,Fruit,2021,April,2
Kiwi,Kg,500.0,550.0,525.0,Spring,Fruit,2021,April,3
Kiwi,Kg,530.0,550.0,540.0,Spring,Fruit,2021,April,4
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,5
Kiwi,Kg,350.0,400.0,375.0,Spring,Fruit,2021,April,6
Kiwi,Kg,350.0,400.0,375.0,Spring,Fruit,2021,April,7
Kiwi,Kg,350.0,400.0,375.0,Spring,Fruit,2021,April,8
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,9
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,10
Kiwi,Kg,350.0,400.0,375.0,Spring,Fruit,2021,April,11
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,12
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,13
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,14
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,15
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,16
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,17
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,18
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,19
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,20
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,21
Kiwi,Kg,400.0,500.0,450.0,Spring,Fruit,2021,April,22
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,23
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,24
Kiwi,Kg,400.0,450.0,425.0,Spring,Fruit,2021,April,25
Kiwi,Kg,500.0,600.0,550.0,Spring,Fruit,2021,April,26
Kiwi,Kg,500.0,600.0,550.0,Spring,Fruit,2021,April,27
Kiwi,Kg,500.0,600.0,550.0,Spring,Fruit,2021,April,28
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,2
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,3
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,4
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,5
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,6
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,7
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,8
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,9
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,10
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,11
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,12
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,13
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,14
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,15
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,16
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,17
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,18
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,19
Kiwi,Kg,650.0,700.0,675.0,Summer Monsoon,Fruit,2021,August,20
Kiwi,Kg,650.0,700.0,675.0,Summer Monsoon,Fruit,2021,August,21
Kiwi,Kg,700.0,800.0,750.0,Summer Monsoon,Fruit,2021,August,22
Kiwi,Kg,600.0,700.0,650.0,Summer Monsoon,Fruit,2021,August,23
Kiwi,Kg,650.0,700.0,675.0,Summer Monsoon,Fruit,2021,August,24
Kiwi,Kg,650.0,700.0,675.0,Summer Monsoon,Fruit,2021,August,25
Kiwi,Kg,600.0,700.0,650.0,Summer Monsoon,Fruit,2021,August,26
