Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Knolkhol,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,16
Knolkhol,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,18
Knolkhol,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,19
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,December,20
Knolkhol,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,22
Knolkhol,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,23
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,December,24
Knolkhol,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,26
Knolkhol,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,27
Knolkhol,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,29
Knolkhol,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,31
Knolkhol,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,1
Knolkhol,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,2
Knolkhol,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,3
Knolkhol,Kg,35.0,40.0,37.5,Spring,Vegetable,2014,April,4
Knolkhol,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,6
Knolkhol,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,7
Knolkhol,Kg,25.0,30.0,27.5,Spring,Vegetable,2014,April,9
Knolkhol,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,10
Knolkhol,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,11
Knolkhol,Kg,40.0,45.0,42.5,Spring,Vegetable,2014,April,13
Knolkhol,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,15
Knolkhol,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,16
Knolkhol,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,17
Knolkhol,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,18
Knolkhol,Kg,75.0,80.0,77.5,Spring,Vegetable,2014,April,20
Knolkhol,Kg,65.0,70.0,67.5,Spring,Vegetable,2014,April,21
Knolkhol,Kg,60.0,70.0,65.0,Spring,Vegetable,2014,April,22
Knolkhol,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,23
Knolkhol,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,25
Knolkhol,Kg,70.0,75.0,72.5,Spring,Vegetable,2014,April,27
Knolkhol,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,28
Knolkhol,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,29
Knolkhol,Kg,50.0,55.0,52.5,Spring,Vegetable,2014,April,30
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,16
Knolkhol,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,17
Knolkhol,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,18
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,19
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,21
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,22
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,23
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,24
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,25
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,26
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,27
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,28
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,29
Knolkhol,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,30
Knolkhol,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,31
Knolkhol,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,February,2
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,3
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,4
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,5
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,6
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,7
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,9
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,10
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,11
Knolkhol,Kg,28.0,30.0,29.0,Winter,Vegetable,2014,February,12
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,13
Knolkhol,Kg,30.0,35.0,32.5,Winter,Vegetable,2014,February,14
