Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Lemon,Kg,35.0,40.0,37.5,Late Autumn,Fruit,2013,December,1
Lemon,Kg,35.0,40.0,37.5,Late Autumn,Fruit,2013,December,2
Lemon,Kg,35.0,40.0,37.5,Late Autumn,Fruit,2013,December,3
Lemon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,4
Lemon,Kg,40.0,45.0,42.5,Late Autumn,Fruit,2013,December,5
Lemon,Kg,40.0,45.0,42.5,Late Autumn,Fruit,2013,December,6
Lemon,Kg,40.0,45.0,42.5,Late Autumn,Fruit,2013,December,8
Lemon,Kg,40.0,45.0,42.5,Late Autumn,Fruit,2013,December,9
Lemon,Kg,40.0,45.0,42.5,Late Autumn,Fruit,2013,December,10
Lemon,Kg,40.0,45.0,42.5,Late Autumn,Fruit,2013,December,11
Lemon,Kg,35.0,40.0,37.5,Late Autumn,Fruit,2013,December,12
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,13
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,15
Lemon,Kg,35.0,40.0,37.5,Late Autumn,Fruit,2013,December,16
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,18
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,19
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,20
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,23
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,24
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,26
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,29
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,December,31
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,November,1
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,November,3
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,November,4
Lemon,Kg,30.0,40.0,35.0,Early Autumn,Fruit,2013,November,5
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,November,7
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2013,November,29
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,1
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,2
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,3
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,4
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,6
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,7
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,8
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,9
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,10
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,October,11
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,12
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,16
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,17
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,20
Lemon,Kg,35.0,40.0,37.5,Early Autumn,Fruit,2013,October,21
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,22
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,25
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,27
Lemon,Kg,35.0,40.0,37.5,Early Autumn,Fruit,2013,October,28
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,29
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,30
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,October,31
Lemon,Kg,40.0,50.0,45.0,Summer Monsoon,Fruit,2013,September,9
Lemon,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2013,September,10
Lemon,Kg,30.0,35.0,32.5,Summer Monsoon,Fruit,2013,September,11
Lemon,Kg,30.0,35.0,32.5,Early Autumn,Fruit,2013,September,19
Lemon,Kg,20.0,25.0,22.5,Early Autumn,Fruit,2013,September,20
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,September,22
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,September,23
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,September,25
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,September,26
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,September,27
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,September,29
Lemon,Kg,25.0,30.0,27.5,Early Autumn,Fruit,2013,September,30
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,1
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,3
Lemon,Kg,20.0,25.0,22.5,Late Autumn,Fruit,2014,December,4
Lemon,Kg,20.0,25.0,22.5,Late Autumn,Fruit,2014,December,5
Lemon,Kg,20.0,25.0,22.5,Late Autumn,Fruit,2014,December,7
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,12
Lemon,Kg,25.0,30.0,27.5,Late Autumn,Fruit,2014,December,13
Lemon,Kg,25.0,30.0,27.5,Late Autumn,Fruit,2014,December,14
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,15
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,16
Lemon,Kg,30.0,31.0,30.5,Late Autumn,Fruit,2014,December,17
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,18
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,19
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,21
Lemon,Kg,30.0,35.0,32.5,Late Autumn,Fruit,2014,December,22
