Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,July,1
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2014,July,2
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,July,3
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,July,4
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,July,5
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,July,6
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,July,7
Litchi,Kg,150.0,160.0,155.0,Early Summer,Fruit,2014,July,8
Litchi,Kg,140.0,150.0,145.0,Early Summer,Fruit,2014,July,9
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,10
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2014,June,11
Litchi,Kg,80.0,100.0,90.0,Early Summer,Fruit,2014,June,12
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2014,June,13
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2014,June,15
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2014,June,16
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,17
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,18
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,19
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,20
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2014,June,23
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,24
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2014,June,25
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,26
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,27
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,29
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2014,June,30
Litchi,Kg,190.0,200.0,195.0,Early Summer,Fruit,2014,May,26
Litchi,Kg,150.0,200.0,175.0,Early Summer,Fruit,2014,May,27
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2014,May,28
Litchi,Kg,60.0,65.0,62.5,Summer Monsoon,Fruit,2015,August,23
Litchi,Kg,40.0,50.0,45.0,Winter,Fruit,2015,February,23
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,July,1
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2015,July,2
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2015,July,3
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2015,July,4
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2015,July,5
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2015,July,6
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2015,July,7
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2015,July,8
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2015,July,9
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2015,July,10
Litchi,Kg,85.0,100.0,92.5,Early Summer,Fruit,2015,July,11
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2015,July,12
Litchi,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2015,July,18
Litchi,Kg,150.0,170.0,160.0,Early Summer,Fruit,2015,June,6
Litchi,Kg,170.0,180.0,175.0,Early Summer,Fruit,2015,June,7
Litchi,Kg,160.0,170.0,165.0,Early Summer,Fruit,2015,June,8
Litchi,Kg,150.0,160.0,155.0,Early Summer,Fruit,2015,June,9
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,10
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,11
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2015,June,12
Litchi,Kg,85.0,110.0,97.5,Early Summer,Fruit,2015,June,13
Litchi,Kg,60.0,70.0,65.0,Early Summer,Fruit,2015,June,14
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,15
Litchi,Kg,80.0,90.0,85.0,Early Summer,Fruit,2015,June,17
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,18
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,19
Litchi,Kg,70.0,85.0,77.5,Early Summer,Fruit,2015,June,20
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,21
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,22
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,23
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,24
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,25
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,26
Litchi,Kg,70.0,80.0,75.0,Early Summer,Fruit,2015,June,27
Litchi,Kg,70.0,75.0,72.5,Early Summer,Fruit,2015,June,28
Litchi,Kg,70.0,75.0,72.5,Early Summer,Fruit,2015,June,29
Litchi,Kg,70.0,75.0,72.5,Early Summer,Fruit,2015,June,30
Litchi,Kg,170.0,180.0,175.0,Early Summer,Fruit,2015,May,30
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,July,1
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,July,2
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,July,3
Litchi,Kg,180.0,190.0,185.0,Early Summer,Fruit,2016,June,1
Litchi,Kg,180.0,190.0,185.0,Early Summer,Fruit,2016,June,2
Litchi,Kg,180.0,190.0,185.0,Early Summer,Fruit,2016,June,3
Litchi,Kg,180.0,190.0,185.0,Early Summer,Fruit,2016,June,4
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,5
Litchi,Kg,110.0,120.0,115.0,Early Summer,Fruit,2016,June,6
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,7
Litchi,Kg,110.0,120.0,115.0,Early Summer,Fruit,2016,June,8
Litchi,Kg,110.0,120.0,115.0,Early Summer,Fruit,2016,June,9
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,10
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,11
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,12
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,13
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,14
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,15
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,16
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,17
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,18
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,19
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,20
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,21
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,22
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,23
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,24
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,25
Litchi,Kg,100.0,110.0,105.0,Early Summer,Fruit,2016,June,26
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,27
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,28
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,29
Litchi,Kg,90.0,100.0,95.0,Early Summer,Fruit,2016,June,30
Litchi,Kg,45.0,50.0,47.5,Winter,Fruit,2016,March,5
Litchi,Kg,55.0,60.0,57.5,Winter,Fruit,2016,March,12
Litchi,Kg,190.0,200.0,195.0,Early Summer,Fruit,2016,May,22
