Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Maize,1 pc,8.0,10.0,9.0,Summer Monsoon,Vegetable,2013,August,8
Maize,1 pc,8.0,9.0,8.5,Summer Monsoon,Vegetable,2013,August,19
Maize,1 pc,9.0,10.0,9.5,Summer Monsoon,Vegetable,2013,August,30
Maize,1 pc,5.0,7.0,6.0,Early Summer,Vegetable,2013,July,1
Maize,1 pc,6.0,7.0,6.5,Early Summer,Vegetable,2013,July,9
Maize,1 pc,6.0,7.0,6.5,Early Summer,Vegetable,2013,July,10
Maize,1 pc,6.0,7.0,6.5,Early Summer,Vegetable,2013,July,11
Maize,1 pc,6.0,7.0,6.5,Early Summer,Vegetable,2013,July,12
Maize,1 pc,6.0,7.0,6.5,Early Summer,Vegetable,2013,July,14
Maize,1 pc,7.0,8.0,7.5,Summer Monsoon,Vegetable,2013,July,15
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,16
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,17
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,18
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,19
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,21
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,22
Maize,1 pc,7.0,8.0,7.5,Summer Monsoon,Vegetable,2013,July,23
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,24
Maize,1 pc,7.0,8.0,7.5,Summer Monsoon,Vegetable,2013,July,25
Maize,1 pc,6.0,7.0,6.5,Summer Monsoon,Vegetable,2013,July,26
Maize,1 pc,9.0,10.0,9.5,Summer Monsoon,Vegetable,2013,July,28
Maize,1 pc,9.0,10.0,9.5,Summer Monsoon,Vegetable,2013,July,29
Maize,1 pc,5.0,6.0,5.5,Early Summer,Vegetable,2013,June,30
Maize,1 pc,70.0,75.0,72.5,Winter,Vegetable,2015,January,25
