Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Mandarin,Kg,40.0,50.0,45.0,Late Autumn,Fruit,2013,December,29
Mandarin,Kg,60.0,70.0,65.0,Early Autumn,Fruit,2013,November,4
Mandarin,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,4
Mandarin,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,December,7
Mandarin,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,1
Mandarin,Kg,40.0,45.0,42.5,Late Autumn,Fruit,2014,January,2
Mandarin,Kg,40.0,50.0,45.0,Late Autumn,Fruit,2014,January,3
Mandarin,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,January,6
Mandarin,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,November,18
Mandarin,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,November,19
Mandarin,Kg,45.0,50.0,47.5,Late Autumn,Fruit,2014,November,21
Mandarin,Kg,35.0,40.0,37.5,Late Autumn,Fruit,2014,November,25
Mandarin,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2014,October,21
Mandarin,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2014,October,22
Mandarin,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2014,October,23
Mandarin,Kg,70.0,80.0,75.0,Early Autumn,Fruit,2014,October,24
Mandarin,Kg,60.0,75.0,67.5,Early Autumn,Fruit,2014,October,25
Mandarin,Kg,40.0,50.0,45.0,Early Autumn,Fruit,2015,November,12
Mandarin,Kg,40.0,50.0,45.0,Early Autumn,Fruit,2015,November,13
Mandarin,Kg,40.0,50.0,45.0,Early Autumn,Fruit,2015,November,14
Mandarin,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2015,November,21
Mandarin,Kg,35.0,40.0,37.5,Early Autumn,Fruit,2015,October,17
Mandarin,Kg,60.0,70.0,65.0,Spring,Fruit,2016,April,1
Mandarin,Kg,60.0,70.0,65.0,Spring,Fruit,2016,April,2
Mandarin,Kg,60.0,70.0,65.0,Spring,Fruit,2016,April,3
Mandarin,Kg,60.0,70.0,65.0,Spring,Fruit,2016,April,4
Mandarin,Kg,70.0,80.0,75.0,Spring,Fruit,2016,April,5
Mandarin,Kg,70.0,80.0,75.0,Spring,Fruit,2016,April,6
Mandarin,Kg,70.0,80.0,75.0,Spring,Fruit,2016,April,7
Mandarin,Kg,70.0,80.0,75.0,Spring,Fruit,2016,April,8
Mandarin,Kg,70.0,80.0,75.0,Spring,Fruit,2016,April,9
Mandarin,Kg,60.0,70.0,65.0,Winter,Fruit,2016,February,22
Mandarin,Kg,70.0,80.0,75.0,Winter,Fruit,2016,February,23
Mandarin,Kg,60.0,70.0,65.0,Winter,Fruit,2016,February,24
Mandarin,Kg,60.0,70.0,65.0,Winter,Fruit,2016,February,25
Mandarin,Kg,50.0,60.0,55.0,Winter,Fruit,2016,February,26
Mandarin,Kg,55.0,60.0,57.5,Winter,Fruit,2016,February,27
Mandarin,Kg,50.0,60.0,55.0,Winter,Fruit,2016,February,28
Mandarin,Kg,50.0,60.0,55.0,Winter,Fruit,2016,February,29
Mandarin,Kg,50.0,60.0,55.0,Winter,Fruit,2016,March,1
Mandarin,Kg,50.0,60.0,55.0,Winter,Fruit,2016,March,2
Mandarin,Kg,50.0,60.0,55.0,Winter,Fruit,2016,March,4
Mandarin,Kg,50.0,60.0,55.0,Winter,Fruit,2016,March,5
Mandarin,Kg,60.0,70.0,65.0,Winter,Fruit,2016,March,6
Mandarin,Kg,60.0,70.0,65.0,Winter,Fruit,2016,March,7
Mandarin,Kg,70.0,80.0,75.0,Winter,Fruit,2016,March,9
Mandarin,Kg,70.0,80.0,75.0,Winter,Fruit,2016,March,10
Mandarin,Kg,70.0,80.0,75.0,Winter,Fruit,2016,March,11
Mandarin,Kg,70.0,80.0,75.0,Winter,Fruit,2016,March,12
Mandarin,Kg,70.0,80.0,75.0,Winter,Fruit,2016,March,13
Mandarin,Kg,70.0,80.0,75.0,Spring,Fruit,2016,March,15
Mandarin,Kg,60.0,70.0,65.0,Spring,Fruit,2016,March,16
