Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Mango,Kg,70.0,80.0,75.0,Summer Monsoon,Fruit,2013,August,1
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,August,2
Mango,Kg,70.0,80.0,75.0,Summer Monsoon,Fruit,2013,August,4
Mango,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,5
Mango,Kg,70.0,80.0,75.0,Summer Monsoon,Fruit,2013,August,6
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2013,August,7
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2013,August,8
Mango,Kg,100.0,110.0,105.0,Summer Monsoon,Fruit,2013,August,13
Mango,Kg,110.0,120.0,115.0,Summer Monsoon,Fruit,2013,August,14
Mango,Kg,110.0,120.0,115.0,Summer Monsoon,Fruit,2013,August,15
Mango,Kg,120.0,130.0,125.0,Summer Monsoon,Fruit,2013,August,16
Mango,Kg,140.0,150.0,145.0,Summer Monsoon,Fruit,2013,August,18
Mango,Kg,140.0,150.0,145.0,Summer Monsoon,Fruit,2013,August,20
Mango,Kg,140.0,150.0,145.0,Summer Monsoon,Fruit,2013,August,23
Mango,Kg,140.0,150.0,145.0,Summer Monsoon,Fruit,2013,August,25
Mango,Kg,140.0,150.0,145.0,Summer Monsoon,Fruit,2013,August,26
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,July,1
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,July,2
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,July,3
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,July,4
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,July,5
Mango,Kg,50.0,70.0,60.0,Early Summer,Fruit,2013,July,9
Mango,Kg,70.0,80.0,75.0,Early Summer,Fruit,2013,July,10
Mango,Kg,60.0,70.0,65.0,Early Summer,Fruit,2013,July,11
Mango,Kg,60.0,70.0,65.0,Early Summer,Fruit,2013,July,12
Mango,Kg,60.0,70.0,65.0,Early Summer,Fruit,2013,July,14
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,July,15
Mango,Kg,70.0,660.0,365.0,Summer Monsoon,Fruit,2013,July,16
Mango,Kg,70.0,80.0,75.0,Summer Monsoon,Fruit,2013,July,17
Mango,Kg,70.0,80.0,75.0,Summer Monsoon,Fruit,2013,July,18
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,July,19
Mango,Kg,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,July,21
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,July,22
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,July,23
Mango,Kg,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,July,24
Mango,Kg,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,July,25
Mango,Kg,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,July,26
Mango,Kg,50.0,60.0,55.0,Summer Monsoon,Fruit,2013,July,28
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,July,29
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,July,30
Mango,Kg,60.0,70.0,65.0,Summer Monsoon,Fruit,2013,July,31
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,16
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,17
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,18
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,19
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,20
Mango,Kg,40.0,50.0,45.0,Early Summer,Fruit,2013,June,21
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,25
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,26
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,27
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,28
Mango,Kg,50.0,60.0,55.0,Early Summer,Fruit,2013,June,30
Mango,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,9
Mango,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,10
Mango,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,11
Mango,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,13
Mango,Kg,100.0,110.0,105.0,Spring,Fruit,2014,April,15
Mango,Kg,80.0,90.0,85.0,Spring,Fruit,2014,April,16
Mango,Kg,80.0,90.0,85.0,Spring,Fruit,2014,April,17
Mango,Kg,85.0,90.0,87.5,Spring,Fruit,2014,April,18
Mango,Kg,85.0,100.0,92.5,Spring,Fruit,2014,April,20
Mango,Kg,85.0,100.0,92.5,Spring,Fruit,2014,April,21
Mango,Kg,80.0,90.0,85.0,Spring,Fruit,2014,April,22
Mango,Kg,75.0,85.0,80.0,Spring,Fruit,2014,April,23
Mango,Kg,70.0,90.0,80.0,Spring,Fruit,2014,April,25
Mango,Kg,80.0,100.0,90.0,Spring,Fruit,2014,April,27
Mango,Kg,80.0,90.0,85.0,Spring,Fruit,2014,April,28
Mango,Kg,80.0,90.0,85.0,Spring,Fruit,2014,April,29
Mango,Kg,70.0,80.0,75.0,Spring,Fruit,2014,April,30
Mango,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2014,August,1
Mango,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2014,August,2
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2014,August,3
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2014,August,4
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2014,August,5
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2014,August,6
Mango,Kg,90.0,95.0,92.5,Summer Monsoon,Fruit,2014,August,7
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2014,August,8
Mango,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2014,August,9
