Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Mushroom,Kg,160.0,180.0,170.0,Summer Monsoon,Vegetable,2013,August,1
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,2
Mushroom,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,August,4
Mushroom,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,August,5
Mushroom,Kg,200.0,210.0,205.0,Summer Monsoon,Vegetable,2013,August,6
Mushroom,Kg,220.0,240.0,230.0,Summer Monsoon,Vegetable,2013,August,7
Mushroom,Kg,230.0,240.0,235.0,Summer Monsoon,Vegetable,2013,August,8
Mushroom,Kg,190.0,200.0,195.0,Summer Monsoon,Vegetable,2013,August,12
Mushroom,Kg,160.0,180.0,170.0,Summer Monsoon,Vegetable,2013,August,13
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,14
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,15
Mushroom,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,August,16
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,18
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,19
Mushroom,Kg,200.0,210.0,205.0,Summer Monsoon,Vegetable,2013,August,20
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,23
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,25
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,26
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,27
Mushroom,Kg,18.0,200.0,109.0,Summer Monsoon,Vegetable,2013,August,29
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,August,30
Mushroom,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,1
Mushroom,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,2
Mushroom,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,3
Mushroom,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,4
Mushroom,Kg,140.0,150.0,145.0,Late Autumn,Vegetable,2013,December,5
Mushroom,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,6
Mushroom,Kg,150.0,180.0,165.0,Late Autumn,Vegetable,2013,December,8
Mushroom,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,9
Mushroom,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,10
Mushroom,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,11
Mushroom,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,12
Mushroom,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,13
Mushroom,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,15
Mushroom,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,16
Mushroom,Kg,180.0,200.0,190.0,Late Autumn,Vegetable,2013,December,18
Mushroom,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,19
Mushroom,Kg,180.0,200.0,190.0,Late Autumn,Vegetable,2013,December,20
Mushroom,Kg,180.0,190.0,185.0,Late Autumn,Vegetable,2013,December,22
Mushroom,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,23
Mushroom,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,24
Mushroom,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,26
Mushroom,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,27
Mushroom,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,29
Mushroom,Kg,180.0,190.0,185.0,Late Autumn,Vegetable,2013,December,31
Mushroom,Kg,160.0,180.0,170.0,Early Summer,Vegetable,2013,July,1
Mushroom,Kg,170.0,180.0,175.0,Early Summer,Vegetable,2013,July,2
Mushroom,Kg,170.0,180.0,175.0,Early Summer,Vegetable,2013,July,3
Mushroom,Kg,170.0,180.0,175.0,Early Summer,Vegetable,2013,July,4
Mushroom,Kg,170.0,180.0,175.0,Early Summer,Vegetable,2013,July,5
Mushroom,Kg,180.0,200.0,190.0,Early Summer,Vegetable,2013,July,9
Mushroom,Kg,180.0,200.0,190.0,Early Summer,Vegetable,2013,July,10
Mushroom,Kg,180.0,200.0,190.0,Early Summer,Vegetable,2013,July,11
Mushroom,Kg,190.0,200.0,195.0,Early Summer,Vegetable,2013,July,12
Mushroom,Kg,190.0,200.0,195.0,Early Summer,Vegetable,2013,July,14
Mushroom,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,July,15
Mushroom,Kg,230.0,250.0,240.0,Summer Monsoon,Vegetable,2013,July,16
Mushroom,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,July,17
Mushroom,Kg,200.0,220.0,210.0,Summer Monsoon,Vegetable,2013,July,18
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,July,19
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,July,21
Mushroom,Kg,150.0,180.0,165.0,Summer Monsoon,Vegetable,2013,July,22
Mushroom,Kg,150.0,160.0,155.0,Summer Monsoon,Vegetable,2013,July,23
Mushroom,Kg,150.0,170.0,160.0,Summer Monsoon,Vegetable,2013,July,24
Mushroom,Kg,160.0,180.0,170.0,Summer Monsoon,Vegetable,2013,July,25
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,July,26
Mushroom,Kg,180.0,200.0,190.0,Summer Monsoon,Vegetable,2013,July,28
Mushroom,Kg,150.0,160.0,155.0,Summer Monsoon,Vegetable,2013,July,29
Mushroom,Kg,170.0,180.0,175.0,Summer Monsoon,Vegetable,2013,July,30
Mushroom,Kg,160.0,180.0,170.0,Summer Monsoon,Vegetable,2013,July,31
Mushroom,Kg,150.0,160.0,155.0,Early Summer,Vegetable,2013,June,16
Mushroom,Kg,180.0,200.0,190.0,Early Summer,Vegetable,2013,June,17
Mushroom,Kg,180.0,200.0,190.0,Early Summer,Vegetable,2013,June,18
Mushroom,Kg,180.0,200.0,190.0,Early Summer,Vegetable,2013,June,19
Mushroom,Kg,200.0,220.0,210.0,Early Summer,Vegetable,2013,June,20
Mushroom,Kg,180.0,200.0,190.0,Early Summer,Vegetable,2013,June,21
Mushroom,Kg,150.0,170.0,160.0,Early Summer,Vegetable,2013,June,25
Mushroom,Kg,150.0,160.0,155.0,Early Summer,Vegetable,2013,June,26
Mushroom,Kg,170.0,180.0,175.0,Early Summer,Vegetable,2013,June,27
Mushroom,Kg,150.0,170.0,160.0,Early Summer,Vegetable,2013,June,28
Mushroom,Kg,120.0,180.0,150.0,Early Summer,Vegetable,2013,June,30
Mushroom,Kg,120.0,130.0,125.0,Early Autumn,Vegetable,2013,November,1
Mushroom,Kg,140.0,160.0,150.0,Early Autumn,Vegetable,2013,November,3
