Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,1
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,2
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,4
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,5
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,6
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,7
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,8
Neuro,Kg,60.0,65.0,62.5,Summer Monsoon,Vegetable,2013,August,12
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,13
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,14
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,15
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,16
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,18
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,19
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,20
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,23
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,25
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,26
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,27
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,29
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,August,30
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,1
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,2
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,3
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,4
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,5
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,9
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,10
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,11
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,12
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,14
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,15
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,16
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,17
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,18
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,19
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,21
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,22
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,23
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,24
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,25
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,26
Neuro,Kg,40.0,50.0,45.0,Summer Monsoon,Vegetable,2013,July,28
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,29
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,30
Neuro,Kg,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,31
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,16
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,17
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,18
Neuro,Kg,40.0,50.0,45.0,Early Summer,Vegetable,2013,June,19
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,20
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,21
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,25
Neuro,Kg,40.0,50.0,45.0,Early Summer,Vegetable,2013,June,26
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,27
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,28
Neuro,Kg,50.0,60.0,55.0,Early Summer,Vegetable,2013,June,30
Neuro,Kg,60.0,70.0,65.0,Early Autumn,Vegetable,2013,October,1
Neuro,Kg,60.0,70.0,65.0,Early Autumn,Vegetable,2013,October,2
