Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Onion Dry ,Kg,51.0,53.0,52.0,Summer Monsoon,Vegetable,2013,August,1
Onion Dry ,Kg,51.0,53.0,52.0,Summer Monsoon,Vegetable,2013,August,2
Onion Dry ,Kg,56.0,58.0,57.0,Summer Monsoon,Vegetable,2013,August,4
Onion Dry ,Kg,58.0,60.0,59.0,Summer Monsoon,Vegetable,2013,August,5
Onion Dry ,Kg,60.0,62.0,61.0,Summer Monsoon,Vegetable,2013,August,6
Onion Dry ,Kg,60.0,62.0,61.0,Summer Monsoon,Vegetable,2013,August,7
Onion Dry ,Kg,60.0,62.0,61.0,Summer Monsoon,Vegetable,2013,August,8
Onion Dry ,Kg,80.0,82.0,81.0,Summer Monsoon,Vegetable,2013,August,12
Onion Dry ,Kg,88.0,90.0,89.0,Summer Monsoon,Vegetable,2013,August,13
Onion Dry ,Kg,88.0,92.0,90.0,Summer Monsoon,Vegetable,2013,August,14
Onion Dry ,Kg,88.0,90.0,89.0,Summer Monsoon,Vegetable,2013,August,15
Onion Dry ,Kg,85.0,90.0,87.5,Summer Monsoon,Vegetable,2013,August,16
Onion Dry ,Kg,80.0,85.0,82.5,Summer Monsoon,Vegetable,2013,August,18
Onion Dry ,Kg,80.0,85.0,82.5,Summer Monsoon,Vegetable,2013,August,19
Onion Dry ,Kg,80.0,82.0,81.0,Summer Monsoon,Vegetable,2013,August,20
Onion Dry ,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,August,23
Onion Dry ,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,August,25
Onion Dry ,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,August,26
Onion Dry ,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,August,27
Onion Dry ,Kg,80.0,82.0,81.0,Summer Monsoon,Vegetable,2013,August,29
Onion Dry ,Kg,75.0,80.0,77.5,Summer Monsoon,Vegetable,2013,August,30
Onion Dry ,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,1
Onion Dry ,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,2
Onion Dry ,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,3
Onion Dry ,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,4
