Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Pear,Kg,140.0,150.0,145.0,Spring,Fruit,2014,April,1
Pear,Kg,140.0,150.0,145.0,Spring,Fruit,2014,April,3
Pear,Kg,140.0,150.0,145.0,Spring,Fruit,2014,April,6
Pear,Kg,55.0,60.0,57.5,Spring,Fruit,2014,April,15
Pear,Kg,25.0,30.0,27.5,Summer Monsoon,Fruit,2014,August,1
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,2
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,3
Pear,Kg,30.0,35.0,32.5,Summer Monsoon,Fruit,2014,August,4
Pear,Kg,30.0,35.0,32.5,Summer Monsoon,Fruit,2014,August,5
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,6
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,7
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,8
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,9
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,10
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,11
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,12
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,13
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,14
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,15
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,16
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,17
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,18
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,19
Pear,Kg,30.0,40.0,35.0,Summer Monsoon,Fruit,2014,August,20
