Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,1
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2013,August,2
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,4
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,5
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,6
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,7
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,8
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,13
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,14
Pomegranate,Kg,220.0,230.0,225.0,Summer Monsoon,Fruit,2013,August,15
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2013,August,16
Pomegranate,Kg,220.0,230.0,225.0,Summer Monsoon,Fruit,2013,August,18
Pomegranate,Kg,140.0,150.0,145.0,Summer Monsoon,Fruit,2013,August,19
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2013,August,20
Pomegranate,Kg,220.0,230.0,225.0,Summer Monsoon,Fruit,2013,August,23
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2013,August,25
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,26
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,27
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,29
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,August,30
Pomegranate,Kg,200.0,210.0,205.0,Late Autumn,Fruit,2013,December,1
Pomegranate,Kg,200.0,210.0,205.0,Late Autumn,Fruit,2013,December,2
Pomegranate,Kg,200.0,210.0,205.0,Late Autumn,Fruit,2013,December,3
Pomegranate,Kg,200.0,210.0,205.0,Late Autumn,Fruit,2013,December,4
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,5
Pomegranate,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,December,6
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,8
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,9
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,10
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,11
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,12
Pomegranate,Kg,210.0,220.0,215.0,Late Autumn,Fruit,2013,December,13
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,15
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,16
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,18
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,19
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,20
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,22
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,23
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,24
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,26
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,27
Pomegranate,Kg,210.0,220.0,215.0,Late Autumn,Fruit,2013,December,29
Pomegranate,Kg,200.0,220.0,210.0,Late Autumn,Fruit,2013,December,31
Pomegranate,Kg,200.0,210.0,205.0,Early Summer,Fruit,2013,July,1
Pomegranate,Kg,200.0,210.0,205.0,Early Summer,Fruit,2013,July,2
Pomegranate,Kg,200.0,220.0,210.0,Early Summer,Fruit,2013,July,3
Pomegranate,Kg,190.0,200.0,195.0,Early Summer,Fruit,2013,July,4
Pomegranate,Kg,200.0,210.0,205.0,Early Summer,Fruit,2013,July,5
Pomegranate,Kg,200.0,220.0,210.0,Early Summer,Fruit,2013,July,9
Pomegranate,Kg,200.0,220.0,210.0,Early Summer,Fruit,2013,July,10
Pomegranate,Kg,190.0,200.0,195.0,Early Summer,Fruit,2013,July,11
Pomegranate,Kg,200.0,210.0,205.0,Early Summer,Fruit,2013,July,12
Pomegranate,Kg,200.0,210.0,205.0,Early Summer,Fruit,2013,July,14
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,15
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,16
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,17
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,18
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2013,July,19
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2013,July,21
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,22
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,23
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,24
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,25
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,26
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,28
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,29
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,30
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,July,31
Pomegranate,Kg,200.0,220.0,210.0,Early Summer,Fruit,2013,June,16
Pomegranate,Kg,200.0,220.0,210.0,Early Summer,Fruit,2013,June,17
Pomegranate,Kg,200.0,220.0,210.0,Early Summer,Fruit,2013,June,18
Pomegranate,Kg,200.0,220.0,210.0,Early Summer,Fruit,2013,June,19
Pomegranate,Kg,190.0,200.0,195.0,Early Summer,Fruit,2013,June,20
Pomegranate,Kg,200.0,210.0,205.0,Early Summer,Fruit,2013,June,21
Pomegranate,Kg,230.0,250.0,240.0,Early Summer,Fruit,2013,June,25
Pomegranate,Kg,220.0,240.0,230.0,Early Summer,Fruit,2013,June,26
Pomegranate,Kg,220.0,240.0,230.0,Early Summer,Fruit,2013,June,27
Pomegranate,Kg,220.0,240.0,230.0,Early Summer,Fruit,2013,June,28
Pomegranate,Kg,220.0,240.0,230.0,Early Summer,Fruit,2013,June,30
Pomegranate,Kg,290.0,300.0,295.0,Early Autumn,Fruit,2013,November,1
Pomegranate,Kg,280.0,300.0,290.0,Early Autumn,Fruit,2013,November,3
Pomegranate,Kg,280.0,300.0,290.0,Early Autumn,Fruit,2013,November,4
Pomegranate,Kg,280.0,300.0,290.0,Early Autumn,Fruit,2013,November,5
Pomegranate,Kg,280.0,300.0,290.0,Early Autumn,Fruit,2013,November,6
Pomegranate,Kg,280.0,300.0,290.0,Early Autumn,Fruit,2013,November,7
Pomegranate,Kg,250.0,275.0,262.5,Early Autumn,Fruit,2013,November,10
Pomegranate,Kg,260.0,280.0,270.0,Early Autumn,Fruit,2013,November,11
Pomegranate,Kg,250.0,280.0,265.0,Early Autumn,Fruit,2013,November,12
Pomegranate,Kg,250.0,280.0,265.0,Early Autumn,Fruit,2013,November,13
Pomegranate,Kg,260.0,280.0,270.0,Early Autumn,Fruit,2013,November,14
Pomegranate,Kg,240.0,260.0,250.0,Late Autumn,Fruit,2013,November,15
Pomegranate,Kg,250.0,280.0,265.0,Late Autumn,Fruit,2013,November,16
Pomegranate,Kg,200.0,250.0,225.0,Late Autumn,Fruit,2013,November,17
Pomegranate,Kg,225.0,250.0,237.5,Late Autumn,Fruit,2013,November,18
Pomegranate,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,November,21
Pomegranate,Kg,230.0,240.0,235.0,Late Autumn,Fruit,2013,November,22
Pomegranate,Kg,220.0,230.0,225.0,Late Autumn,Fruit,2013,November,24
Pomegranate,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,November,25
Pomegranate,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,November,26
Pomegranate,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,November,27
Pomegranate,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,November,28
Pomegranate,Kg,220.0,240.0,230.0,Late Autumn,Fruit,2013,November,29
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,October,1
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,October,2
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,October,3
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,October,4
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,October,6
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,October,7
Pomegranate,Kg,220.0,240.0,230.0,Early Autumn,Fruit,2013,October,9
Pomegranate,Kg,220.0,240.0,230.0,Early Autumn,Fruit,2013,October,10
Pomegranate,Kg,220.0,240.0,230.0,Early Autumn,Fruit,2013,October,11
Pomegranate,Kg,220.0,240.0,230.0,Early Autumn,Fruit,2013,October,12
Pomegranate,Kg,220.0,240.0,230.0,Early Autumn,Fruit,2013,October,13
Pomegranate,Kg,220.0,240.0,230.0,Early Autumn,Fruit,2013,October,14
Pomegranate,Kg,220.0,240.0,230.0,Early Autumn,Fruit,2013,October,15
Pomegranate,Kg,230.0,250.0,240.0,Early Autumn,Fruit,2013,October,16
Pomegranate,Kg,240.0,260.0,250.0,Early Autumn,Fruit,2013,October,17
Pomegranate,Kg,250.0,260.0,255.0,Early Autumn,Fruit,2013,October,20
Pomegranate,Kg,250.0,260.0,255.0,Early Autumn,Fruit,2013,October,21
Pomegranate,Kg,250.0,260.0,255.0,Early Autumn,Fruit,2013,October,22
Pomegranate,Kg,250.0,260.0,255.0,Early Autumn,Fruit,2013,October,23
Pomegranate,Kg,250.0,260.0,255.0,Early Autumn,Fruit,2013,October,24
Pomegranate,Kg,250.0,300.0,275.0,Early Autumn,Fruit,2013,October,25
Pomegranate,Kg,250.0,260.0,255.0,Early Autumn,Fruit,2013,October,27
Pomegranate,Kg,270.0,280.0,275.0,Early Autumn,Fruit,2013,October,28
Pomegranate,Kg,270.0,280.0,275.0,Early Autumn,Fruit,2013,October,29
Pomegranate,Kg,280.0,290.0,285.0,Early Autumn,Fruit,2013,October,30
Pomegranate,Kg,280.0,300.0,290.0,Early Autumn,Fruit,2013,October,31
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,September,1
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2013,September,2
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2013,September,3
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2013,September,4
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,September,5
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,September,6
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2013,September,8
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2013,September,9
Pomegranate,Kg,180.0,200.0,190.0,Summer Monsoon,Fruit,2013,September,10
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2013,September,11
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2013,September,12
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2013,September,13
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,September,15
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,September,16
Pomegranate,Kg,200.0,210.0,205.0,Early Autumn,Fruit,2013,September,17
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,September,19
Pomegranate,Kg,200.0,220.0,210.0,Early Autumn,Fruit,2013,September,20
Pomegranate,Kg,200.0,210.0,205.0,Early Autumn,Fruit,2013,September,22
Pomegranate,Kg,190.0,200.0,195.0,Early Autumn,Fruit,2013,September,23
Pomegranate,Kg,180.0,200.0,190.0,Early Autumn,Fruit,2013,September,24
Pomegranate,Kg,190.0,200.0,195.0,Early Autumn,Fruit,2013,September,25
Pomegranate,Kg,190.0,200.0,195.0,Early Autumn,Fruit,2013,September,26
Pomegranate,Kg,190.0,200.0,195.0,Early Autumn,Fruit,2013,September,27
Pomegranate,Kg,190.0,200.0,195.0,Early Autumn,Fruit,2013,September,29
Pomegranate,Kg,190.0,200.0,195.0,Early Autumn,Fruit,2013,September,30
Pomegranate,Kg,270.0,290.0,280.0,Spring,Fruit,2014,April,1
Pomegranate,Kg,275.0,290.0,282.5,Spring,Fruit,2014,April,2
Pomegranate,Kg,260.0,290.0,275.0,Spring,Fruit,2014,April,3
Pomegranate,Kg,275.0,300.0,287.5,Spring,Fruit,2014,April,4
Pomegranate,Kg,270.0,290.0,280.0,Spring,Fruit,2014,April,6
Pomegranate,Kg,275.0,300.0,287.5,Spring,Fruit,2014,April,7
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,9
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,10
Pomegranate,Kg,260.0,270.0,265.0,Spring,Fruit,2014,April,11
Pomegranate,Kg,260.0,270.0,265.0,Spring,Fruit,2014,April,13
Pomegranate,Kg,260.0,270.0,265.0,Spring,Fruit,2014,April,15
Pomegranate,Kg,240.0,250.0,245.0,Spring,Fruit,2014,April,16
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,17
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,18
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,20
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,21
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,22
Pomegranate,Kg,240.0,250.0,245.0,Spring,Fruit,2014,April,23
Pomegranate,Kg,230.0,250.0,240.0,Spring,Fruit,2014,April,25
Pomegranate,Kg,240.0,250.0,245.0,Spring,Fruit,2014,April,27
Pomegranate,Kg,250.0,260.0,255.0,Spring,Fruit,2014,April,28
Pomegranate,Kg,270.0,280.0,275.0,Spring,Fruit,2014,April,29
Pomegranate,Kg,260.0,270.0,265.0,Spring,Fruit,2014,April,30
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2014,August,1
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2014,August,2
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2014,August,3
Pomegranate,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2014,August,4
Pomegranate,Kg,200.0,210.0,205.0,Summer Monsoon,Fruit,2014,August,5
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2014,August,6
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2014,August,7
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2014,August,8
Pomegranate,Kg,180.0,200.0,190.0,Summer Monsoon,Fruit,2014,August,9
Pomegranate,Kg,190.0,200.0,195.0,Summer Monsoon,Fruit,2014,August,10
Pomegranate,Kg,180.0,190.0,185.0,Summer Monsoon,Fruit,2014,August,11
Pomegranate,Kg,170.0,180.0,175.0,Summer Monsoon,Fruit,2014,August,12
Pomegranate,Kg,170.0,190.0,180.0,Summer Monsoon,Fruit,2014,August,13
Pomegranate,Kg,170.0,180.0,175.0,Summer Monsoon,Fruit,2014,August,14
Pomegranate,Kg,180.0,200.0,190.0,Summer Monsoon,Fruit,2014,August,15
Pomegranate,Kg,180.0,190.0,185.0,Summer Monsoon,Fruit,2014,August,16
