Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Potato White,Kg,20.0,21.0,20.5,Summer Monsoon,Vegetable,2013,August,1
Potato White,Kg,20.0,21.0,20.5,Summer Monsoon,Vegetable,2013,August,2
Potato White,Kg,20.0,21.0,20.5,Summer Monsoon,Vegetable,2013,August,4
Potato White,Kg,22.0,23.0,22.5,Summer Monsoon,Vegetable,2013,August,5
Potato White,Kg,22.0,23.0,22.5,Summer Monsoon,Vegetable,2013,August,6
Potato White,Kg,23.0,24.0,23.5,Summer Monsoon,Vegetable,2013,August,7
Potato White,Kg,22.0,23.0,22.5,Summer Monsoon,Vegetable,2013,August,8
Potato White,Kg,24.0,24.0,24.0,Summer Monsoon,Vegetable,2013,August,12
Potato White,Kg,23.0,24.0,23.5,Summer Monsoon,Vegetable,2013,August,13
Potato White,Kg,23.0,24.0,23.5,Summer Monsoon,Vegetable,2013,August,14
Potato White,Kg,23.0,24.0,23.5,Summer Monsoon,Vegetable,2013,August,15
Potato White,Kg,24.0,25.0,24.5,Summer Monsoon,Vegetable,2013,August,16
Potato White,Kg,24.0,25.0,24.5,Summer Monsoon,Vegetable,2013,August,18
Potato White,Kg,24.0,25.0,24.5,Summer Monsoon,Vegetable,2013,August,19
Potato White,Kg,24.0,25.0,24.5,Summer Monsoon,Vegetable,2013,August,20
Potato White,Kg,26.0,27.0,26.5,Summer Monsoon,Vegetable,2013,August,23
Potato White,Kg,26.0,27.0,26.5,Summer Monsoon,Vegetable,2013,August,25
Potato White,Kg,27.0,28.0,27.5,Summer Monsoon,Vegetable,2013,August,26
Potato White,Kg,26.0,28.0,27.0,Summer Monsoon,Vegetable,2013,August,27
Potato White,Kg,26.0,27.0,26.5,Summer Monsoon,Vegetable,2013,August,29
Potato White,Kg,27.0,28.0,27.5,Summer Monsoon,Vegetable,2013,August,30
Potato White,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,1
Potato White,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,2
Potato White,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,3
Potato White,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,4
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,5
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,6
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,8
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,9
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,10
Potato White,Kg,29.0,30.0,29.5,Late Autumn,Vegetable,2013,December,11
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,12
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,13
Potato White,Kg,28.0,32.0,30.0,Late Autumn,Vegetable,2013,December,15
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,16
Potato White,Kg,26.0,28.0,27.0,Late Autumn,Vegetable,2013,December,18
Potato White,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,19
Potato White,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,20
Potato White,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,22
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,23
Potato White,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,24
Potato White,Kg,26.0,28.0,27.0,Late Autumn,Vegetable,2013,December,26
Potato White,Kg,25.0,26.0,25.5,Late Autumn,Vegetable,2013,December,27
Potato White,Kg,25.0,26.0,25.5,Late Autumn,Vegetable,2013,December,29
Potato White,Kg,24.0,27.0,25.5,Late Autumn,Vegetable,2013,December,31
Potato White,Kg,19.0,20.0,19.5,Early Summer,Vegetable,2013,July,1
Potato White,Kg,18.0,20.0,19.0,Early Summer,Vegetable,2013,July,2
Potato White,Kg,18.0,19.0,18.5,Early Summer,Vegetable,2013,July,3
Potato White,Kg,18.0,19.0,18.5,Early Summer,Vegetable,2013,July,4
Potato White,Kg,18.0,19.0,18.5,Early Summer,Vegetable,2013,July,5
Potato White,Kg,18.0,20.0,19.0,Early Summer,Vegetable,2013,July,9
Potato White,Kg,18.0,20.0,19.0,Early Summer,Vegetable,2013,July,10
Potato White,Kg,18.0,20.0,19.0,Early Summer,Vegetable,2013,July,11
Potato White,Kg,19.0,20.0,19.5,Early Summer,Vegetable,2013,July,12
Potato White,Kg,18.0,19.0,18.5,Early Summer,Vegetable,2013,July,14
Potato White,Kg,19.0,20.0,19.5,Summer Monsoon,Vegetable,2013,July,15
Potato White,Kg,19.0,20.0,19.5,Summer Monsoon,Vegetable,2013,July,16
Potato White,Kg,18.0,19.0,18.5,Summer Monsoon,Vegetable,2013,July,17
Potato White,Kg,19.0,20.0,19.5,Summer Monsoon,Vegetable,2013,July,18
Potato White,Kg,18.0,19.0,18.5,Summer Monsoon,Vegetable,2013,July,19
Potato White,Kg,19.0,20.0,19.5,Summer Monsoon,Vegetable,2013,July,21
Potato White,Kg,19.0,20.0,19.5,Summer Monsoon,Vegetable,2013,July,22
Potato White,Kg,18.0,19.0,18.5,Summer Monsoon,Vegetable,2013,July,23
Potato White,Kg,18.0,19.0,18.5,Summer Monsoon,Vegetable,2013,July,24
Potato White,Kg,18.0,19.0,18.5,Summer Monsoon,Vegetable,2013,July,25
Potato White,Kg,18.0,19.0,18.5,Summer Monsoon,Vegetable,2013,July,26
Potato White,Kg,20.0,21.0,20.5,Summer Monsoon,Vegetable,2013,July,28
Potato White,Kg,20.0,21.0,20.5,Summer Monsoon,Vegetable,2013,July,29
Potato White,Kg,20.0,21.0,20.5,Summer Monsoon,Vegetable,2013,July,30
Potato White,Kg,20.0,21.0,20.5,Summer Monsoon,Vegetable,2013,July,31
Potato White,Kg,15.0,16.0,15.5,Early Summer,Vegetable,2013,June,16
Potato White,Kg,15.0,16.0,15.5,Early Summer,Vegetable,2013,June,17
Potato White,Kg,15.0,16.0,15.5,Early Summer,Vegetable,2013,June,18
Potato White,Kg,15.0,16.0,15.5,Early Summer,Vegetable,2013,June,19
Potato White,Kg,15.0,16.0,15.5,Early Summer,Vegetable,2013,June,20
Potato White,Kg,16.0,17.0,16.5,Early Summer,Vegetable,2013,June,21
Potato White,Kg,17.0,18.0,17.5,Early Summer,Vegetable,2013,June,25
Potato White,Kg,17.0,18.0,17.5,Early Summer,Vegetable,2013,June,26
Potato White,Kg,19.0,20.0,19.5,Early Summer,Vegetable,2013,June,27
Potato White,Kg,19.0,20.0,19.5,Early Summer,Vegetable,2013,June,28
Potato White,Kg,19.0,20.0,19.5,Early Summer,Vegetable,2013,June,30
Potato White,Kg,32.0,36.0,34.0,Early Autumn,Vegetable,2013,November,1
Potato White,Kg,38.0,40.0,39.0,Early Autumn,Vegetable,2013,November,3
Potato White,Kg,38.0,42.0,40.0,Early Autumn,Vegetable,2013,November,4
Potato White,Kg,38.0,40.0,39.0,Early Autumn,Vegetable,2013,November,5
Potato White,Kg,38.0,40.0,39.0,Early Autumn,Vegetable,2013,November,6
Potato White,Kg,38.0,40.0,39.0,Early Autumn,Vegetable,2013,November,7
