Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Raddish Red,Kg,18.0,20.0,19.0,Summer Monsoon,Vegetable,2013,August,12
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,1
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,2
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,3
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,4
Raddish Red,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,5
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,6
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,8
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,9
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,10
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,11
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,12
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,13
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,15
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,16
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,18
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,19
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,20
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,22
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,23
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,24
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,26
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,27
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,29
Raddish Red,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,31
Raddish Red,Kg,45.0,50.0,47.5,Early Summer,Vegetable,2013,July,1
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,16
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,17
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,18
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,19
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,20
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,21
Raddish Red,Kg,40.0,45.0,42.5,Early Summer,Vegetable,2013,June,25
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,26
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,27
Raddish Red,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,June,28
Raddish Red,Kg,45.0,50.0,47.5,Early Summer,Vegetable,2013,June,30
Raddish Red,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,November,1
Raddish Red,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,November,3
Raddish Red,Kg,45.0,50.0,47.5,Early Autumn,Vegetable,2013,November,4
