Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Raddish White,Kg,16.0,20.0,18.0,Summer Monsoon,Vegetable,2013,August,1
Raddish White,Kg,20.0,22.0,21.0,Summer Monsoon,Vegetable,2013,August,2
Raddish White,Kg,16.0,20.0,18.0,Summer Monsoon,Vegetable,2013,August,4
Raddish White,Kg,15.0,20.0,17.5,Summer Monsoon,Vegetable,2013,August,5
Raddish White,Kg,16.0,20.0,18.0,Summer Monsoon,Vegetable,2013,August,6
Raddish White,Kg,18.0,20.0,19.0,Summer Monsoon,Vegetable,2013,August,7
Raddish White,Kg,20.0,25.0,22.5,Summer Monsoon,Vegetable,2013,August,8
Raddish White,Kg,20.0,22.0,21.0,Summer Monsoon,Vegetable,2013,August,12
Raddish White,Kg,15.0,20.0,17.5,Summer Monsoon,Vegetable,2013,August,13
Raddish White,Kg,20.0,24.0,22.0,Summer Monsoon,Vegetable,2013,August,14
Raddish White,Kg,22.0,26.0,24.0,Summer Monsoon,Vegetable,2013,August,15
Raddish White,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,16
Raddish White,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,18
Raddish White,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,19
Raddish White,Kg,28.0,30.0,29.0,Summer Monsoon,Vegetable,2013,August,20
Raddish White,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,23
Raddish White,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,25
Raddish White,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,26
Raddish White,Kg,28.0,30.0,29.0,Summer Monsoon,Vegetable,2013,August,27
Raddish White,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,29
Raddish White,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,30
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,1
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,2
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,3
Raddish White,Kg,14.0,18.0,16.0,Late Autumn,Vegetable,2013,December,4
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,5
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,6
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,8
Raddish White,Kg,10.0,15.0,12.5,Late Autumn,Vegetable,2013,December,9
Raddish White,Kg,12.0,16.0,14.0,Late Autumn,Vegetable,2013,December,10
Raddish White,Kg,14.0,16.0,15.0,Late Autumn,Vegetable,2013,December,11
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,12
Raddish White,Kg,10.0,15.0,12.5,Late Autumn,Vegetable,2013,December,13
Raddish White,Kg,15.0,18.0,16.5,Late Autumn,Vegetable,2013,December,15
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,16
Raddish White,Kg,10.0,15.0,12.5,Late Autumn,Vegetable,2013,December,18
Raddish White,Kg,12.0,16.0,14.0,Late Autumn,Vegetable,2013,December,19
Raddish White,Kg,15.0,20.0,17.5,Late Autumn,Vegetable,2013,December,20
Raddish White,Kg,12.0,15.0,13.5,Late Autumn,Vegetable,2013,December,22
Raddish White,Kg,12.0,15.0,13.5,Late Autumn,Vegetable,2013,December,23
Raddish White,Kg,10.0,14.0,12.0,Late Autumn,Vegetable,2013,December,24
