Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,1
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,2
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,4
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,5
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,6
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,7
Red Cabbbage,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,8
Red Cabbbage,Kg,120.0,130.0,125.0,Summer Monsoon,Vegetable,2013,August,12
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,13
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,14
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,15
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,16
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,18
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,19
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,20
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,23
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,25
Red Cabbbage,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,26
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,27
Red Cabbbage,Kg,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,29
Red Cabbbage,Kg,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,30
Red Cabbbage,Kg,150.0,180.0,165.0,Late Autumn,Vegetable,2013,December,1
Red Cabbbage,Kg,180.0,200.0,190.0,Late Autumn,Vegetable,2013,December,2
Red Cabbbage,Kg,180.0,200.0,190.0,Late Autumn,Vegetable,2013,December,3
Red Cabbbage,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,4
Red Cabbbage,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,5
Red Cabbbage,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,6
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,8
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,9
Red Cabbbage,Kg,250.0,280.0,265.0,Late Autumn,Vegetable,2013,December,10
Red Cabbbage,Kg,250.0,260.0,255.0,Late Autumn,Vegetable,2013,December,11
Red Cabbbage,Kg,250.0,260.0,255.0,Late Autumn,Vegetable,2013,December,12
Red Cabbbage,Kg,250.0,260.0,255.0,Late Autumn,Vegetable,2013,December,13
Red Cabbbage,Kg,170.0,180.0,175.0,Late Autumn,Vegetable,2013,December,15
Red Cabbbage,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,16
Red Cabbbage,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,18
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,19
Red Cabbbage,Kg,150.0,170.0,160.0,Late Autumn,Vegetable,2013,December,20
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,22
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,23
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,24
Red Cabbbage,Kg,120.0,130.0,125.0,Late Autumn,Vegetable,2013,December,26
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,27
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,29
Red Cabbbage,Kg,150.0,160.0,155.0,Late Autumn,Vegetable,2013,December,31
Red Cabbbage,Kg,60.0,70.0,65.0,Early Summer,Vegetable,2013,July,1
Red Cabbbage,Kg,70.0,80.0,75.0,Early Summer,Vegetable,2013,July,2
Red Cabbbage,Kg,60.0,70.0,65.0,Early Summer,Vegetable,2013,July,3
Red Cabbbage,Kg,60.0,70.0,65.0,Early Summer,Vegetable,2013,July,4
Red Cabbbage,Kg,60.0,70.0,65.0,Early Summer,Vegetable,2013,July,5
