Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,November,1
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,November,2
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,November,3
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,November,4
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,November,5
Sarifa,Kg,150.0,180.0,165.0,Early Autumn,Fruit,2021,November,12
Sarifa,Kg,100.0,150.0,125.0,Early Autumn,Fruit,2021,November,13
Sarifa,Kg,100.0,150.0,125.0,Early Autumn,Fruit,2021,November,14
Sarifa,Kg,100.0,120.0,110.0,Late Autumn,Fruit,2021,November,15
Sarifa,Kg,100.0,150.0,125.0,Late Autumn,Fruit,2021,November,16
Sarifa,Kg,100.0,120.0,110.0,Late Autumn,Fruit,2021,November,17
Sarifa,Kg,100.0,120.0,110.0,Late Autumn,Fruit,2021,November,18
Sarifa,Kg,100.0,120.0,110.0,Late Autumn,Fruit,2021,November,19
Sarifa,Kg,100.0,120.0,110.0,Late Autumn,Fruit,2021,November,20
Sarifa,Kg,100.0,120.0,110.0,Late Autumn,Fruit,2021,November,21
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,October,29
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,October,30
Sarifa,Kg,140.0,150.0,145.0,Early Autumn,Fruit,2021,October,31
Sarifa,Kg,220.0,250.0,235.0,Summer Monsoon,Fruit,2022,August,2
Sarifa,Kg,220.0,250.0,235.0,Summer Monsoon,Fruit,2022,August,3
Sarifa,Kg,220.0,250.0,235.0,Summer Monsoon,Fruit,2022,August,4
Sarifa,Kg,220.0,250.0,235.0,Summer Monsoon,Fruit,2022,August,5
Sarifa,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2022,August,6
Sarifa,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2022,August,7
Sarifa,Kg,180.0,200.0,190.0,Summer Monsoon,Fruit,2022,August,8
Sarifa,Kg,200.0,250.0,225.0,Summer Monsoon,Fruit,2022,August,9
Sarifa,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2022,August,10
Sarifa,Kg,200.0,220.0,210.0,Summer Monsoon,Fruit,2022,August,11
Sarifa,Kg,150.0,180.0,165.0,Summer Monsoon,Fruit,2022,August,12
Sarifa,Kg,150.0,200.0,175.0,Summer Monsoon,Fruit,2022,August,13
Sarifa,Kg,150.0,200.0,175.0,Summer Monsoon,Fruit,2022,August,14
Sarifa,Kg,150.0,180.0,165.0,Summer Monsoon,Fruit,2022,August,15
Sarifa,Kg,180.0,200.0,193.33,Summer Monsoon,Fruit,2022,August,16
Sarifa,Kg,180.0,200.0,190.0,Summer Monsoon,Fruit,2022,August,17
