Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,1
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,2
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,4
Soyabean Green,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,5
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,6
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,7
Soyabean Green,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,8
Soyabean Green,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,12
Soyabean Green,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,13
Soyabean Green,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,14
Soyabean Green,Kg,55.0,60.0,57.5,Summer Monsoon,Vegetable,2013,August,15
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,16
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,18
Soyabean Green,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,19
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,20
Soyabean Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,23
Soyabean Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,25
Soyabean Green,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,26
Soyabean Green,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,27
Soyabean Green,Kg,40.0,45.0,42.5,Summer Monsoon,Vegetable,2013,August,29
Soyabean Green,Kg,50.0,55.0,52.5,Summer Monsoon,Vegetable,2013,August,30
Soyabean Green,Kg,38.0,40.0,39.0,Early Summer,Vegetable,2013,July,1
Soyabean Green,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,2
Soyabean Green,Kg,35.0,40.0,37.5,Early Summer,Vegetable,2013,July,3
