Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,8
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,14
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,16
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,18
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,19
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,20
Sugarcane,1 pc,70.0,80.0,75.0,Summer Monsoon,Vegetable,2013,August,23
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,25
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,26
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,27
Sugarcane,1 pc,60.0,70.0,65.0,Summer Monsoon,Vegetable,2013,August,30
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,1
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,2
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,3
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,4
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,5
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,6
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,8
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,9
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,10
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,11
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,12
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,13
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,15
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,16
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,18
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,19
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,20
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,22
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,23
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,24
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,26
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,27
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,29
Sugarcane,1 pc,40.0,50.0,45.0,Late Autumn,Vegetable,2013,December,31
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,1
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,2
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,3
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,4
Sugarcane,1 pc,60.0,70.0,65.0,Early Summer,Vegetable,2013,July,5
Sugarcane,1 pc,60.0,70.0,65.0,Early Summer,Vegetable,2013,July,9
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,10
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,11
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,12
Sugarcane,1 pc,50.0,60.0,55.0,Early Summer,Vegetable,2013,July,14
Sugarcane,1 pc,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,15
Sugarcane,1 pc,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,16
Sugarcane,1 pc,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,17
Sugarcane,1 pc,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,18
Sugarcane,1 pc,50.0,60.0,55.0,Summer Monsoon,Vegetable,2013,July,19
