Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Sweet Orange,Kg,85.0,90.0,87.5,Summer Monsoon,Fruit,2013,August,1
Sweet Orange,Kg,85.0,90.0,87.5,Summer Monsoon,Fruit,2013,August,2
Sweet Orange,Kg,85.0,90.0,87.5,Summer Monsoon,Fruit,2013,August,4
Sweet Orange,Kg,85.0,90.0,87.5,Summer Monsoon,Fruit,2013,August,5
Sweet Orange,Kg,85.0,90.0,87.5,Summer Monsoon,Fruit,2013,August,6
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,7
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,8
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,13
Sweet Orange,Kg,85.0,90.0,87.5,Summer Monsoon,Fruit,2013,August,14
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,15
Sweet Orange,Kg,75.0,80.0,77.5,Summer Monsoon,Fruit,2013,August,16
Sweet Orange,Kg,70.0,80.0,75.0,Summer Monsoon,Fruit,2013,August,18
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,19
Sweet Orange,Kg,70.0,80.0,75.0,Summer Monsoon,Fruit,2013,August,20
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,23
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,25
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,26
Sweet Orange,Kg,80.0,90.0,85.0,Summer Monsoon,Fruit,2013,August,27
Sweet Orange,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2013,August,29
Sweet Orange,Kg,90.0,100.0,95.0,Summer Monsoon,Fruit,2013,August,30
Sweet Orange,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,December,1
Sweet Orange,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,December,2
Sweet Orange,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,December,3
Sweet Orange,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,December,4
Sweet Orange,Kg,80.0,90.0,85.0,Late Autumn,Fruit,2013,December,5
