Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,1
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,2
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,3
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,4
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,5
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,6
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,8
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,9
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,10
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,11
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,12
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,13
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,15
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,16
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,18
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,19
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,20
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,22
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,23
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,24
Sweet Potato,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,26
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,27
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,29
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,31
Sweet Potato,Kg,38.0,40.0,39.0,Early Autumn,Vegetable,2013,November,1
Sweet Potato,Kg,40.0,50.0,45.0,Early Autumn,Vegetable,2013,November,10
Sweet Potato,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,November,11
Sweet Potato,Kg,35.0,40.0,37.5,Early Autumn,Vegetable,2013,November,12
Sweet Potato,Kg,30.0,35.0,32.5,Early Autumn,Vegetable,2013,November,13
Sweet Potato,Kg,32.0,40.0,36.0,Early Autumn,Vegetable,2013,November,14
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,15
Sweet Potato,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,November,16
Sweet Potato,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,November,17
Sweet Potato,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,November,18
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,20
Sweet Potato,Kg,28.0,32.0,30.0,Late Autumn,Vegetable,2013,November,21
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,22
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,24
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,25
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,26
Sweet Potato,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,November,27
Sweet Potato,Kg,40.0,50.0,45.0,Late Autumn,Vegetable,2013,November,28
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,November,29
Sweet Potato,Kg,50.0,52.0,51.0,Spring,Vegetable,2014,April,1
Sweet Potato,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,2
Sweet Potato,Kg,50.0,55.0,52.5,Spring,Vegetable,2014,April,3
Sweet Potato,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,April,4
Sweet Potato,Kg,50.0,60.0,55.0,Spring,Vegetable,2014,April,6
Sweet Potato,Kg,55.0,60.0,57.5,Spring,Vegetable,2014,April,7
Sweet Potato,Kg,50.0,55.0,52.5,Spring,Vegetable,2014,April,9
Sweet Potato,Kg,50.0,55.0,52.5,Spring,Vegetable,2014,April,10
Sweet Potato,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,11
Sweet Potato,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,13
Sweet Potato,Kg,45.0,50.0,47.5,Spring,Vegetable,2014,April,15
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,1
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,2
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,3
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,4
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,5
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,6
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,7
Sweet Potato,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,8
Sweet Potato,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,13
Sweet Potato,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,14
Sweet Potato,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,15
Sweet Potato,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2014,December,16
Sweet Potato,Kg,40.0,42.0,41.0,Late Autumn,Vegetable,2014,December,17
Sweet Potato,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2014,December,18
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,19
Sweet Potato,Kg,50.0,55.0,52.5,Late Autumn,Vegetable,2014,December,22
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,23
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,24
Sweet Potato,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2014,December,26
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,27
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,28
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,29
Sweet Potato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2014,December,30
Sweet Potato,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2014,December,31
Sweet Potato,Kg,35.0,40.0,37.5,Winter,Vegetable,2014,February,2
