Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Sword Bean,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,December,1
Sword Bean,Kg,60.0,70.0,65.0,Late Autumn,Vegetable,2013,December,2
Sword Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,3
Sword Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,4
Sword Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,5
Sword Bean,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,December,6
Sword Bean,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,December,8
Sword Bean,Kg,60.0,70.0,65.0,Late Autumn,Vegetable,2013,December,9
Sword Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,10
Sword Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,December,11
Sword Bean,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,12
Sword Bean,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,13
Sword Bean,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,15
Sword Bean,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,December,16
Sword Bean,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,18
Sword Bean,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,December,19
Sword Bean,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,December,20
Sword Bean,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,22
Sword Bean,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,23
Sword Bean,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,24
Sword Bean,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,26
Sword Bean,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,27
Sword Bean,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,December,29
Sword Bean,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,31
Sword Bean,Kg,75.0,80.0,77.5,Early Autumn,Vegetable,2013,November,1
Sword Bean,Kg,70.0,80.0,75.0,Early Autumn,Vegetable,2013,November,4
Sword Bean,Kg,90.0,100.0,95.0,Late Autumn,Vegetable,2013,November,16
Sword Bean,Kg,95.0,100.0,97.5,Late Autumn,Vegetable,2013,November,21
Sword Bean,Kg,90.0,100.0,95.0,Late Autumn,Vegetable,2013,November,22
Sword Bean,Kg,55.0,60.0,57.5,Late Autumn,Vegetable,2013,November,24
Sword Bean,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,November,25
Sword Bean,Kg,90.0,100.0,95.0,Late Autumn,Vegetable,2013,November,26
Sword Bean,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,November,27
Sword Bean,Kg,80.0,90.0,85.0,Late Autumn,Vegetable,2013,November,28
Sword Bean,Kg,75.0,80.0,77.5,Late Autumn,Vegetable,2013,November,29
Sword Bean,Kg,80.0,90.0,85.0,Early Autumn,Vegetable,2013,October,1
Sword Bean,Kg,75.0,80.0,77.5,Early Autumn,Vegetable,2013,October,2
Sword Bean,Kg,70.0,75.0,72.5,Early Autumn,Vegetable,2013,October,3
Sword Bean,Kg,70.0,80.0,75.0,Early Autumn,Vegetable,2013,October,4
Sword Bean,Kg,60.0,70.0,65.0,Early Autumn,Vegetable,2013,October,6
Sword Bean,Kg,75.0,80.0,77.5,Early Autumn,Vegetable,2013,October,7
Sword Bean,Kg,65.0,70.0,67.5,Early Autumn,Vegetable,2013,October,8
