Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Tomato,Kg,39.5,46.5,43.0,Summer Monsoon,Vegetable,2013,August,1
Tomato,Kg,35.0,42.5,38.75,Summer Monsoon,Vegetable,2013,August,2
Tomato,Kg,32.5,37.5,35.0,Summer Monsoon,Vegetable,2013,August,4
Tomato,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,5
Tomato,Kg,31.5,37.0,34.25,Summer Monsoon,Vegetable,2013,August,6
Tomato,Kg,29.5,33.0,31.25,Summer Monsoon,Vegetable,2013,August,7
Tomato,Kg,25.0,30.0,27.5,Summer Monsoon,Vegetable,2013,August,8
Tomato,Kg,21.0,24.0,22.5,Summer Monsoon,Vegetable,2013,August,12
Tomato,Kg,27.5,32.5,30.0,Summer Monsoon,Vegetable,2013,August,13
Tomato,Kg,30.0,35.0,32.5,Summer Monsoon,Vegetable,2013,August,14
Tomato,Kg,30.0,36.0,33.0,Summer Monsoon,Vegetable,2013,August,15
Tomato,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,16
Tomato,Kg,42.5,47.5,45.0,Summer Monsoon,Vegetable,2013,August,18
Tomato,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,August,19
Tomato,Kg,46.5,51.0,48.75,Summer Monsoon,Vegetable,2013,August,20
Tomato,Kg,47.5,52.0,49.75,Summer Monsoon,Vegetable,2013,August,23
Tomato,Kg,37.5,42.5,40.0,Summer Monsoon,Vegetable,2013,August,25
Tomato,Kg,39.0,43.5,41.25,Summer Monsoon,Vegetable,2013,August,26
Tomato,Kg,34.0,38.5,36.25,Summer Monsoon,Vegetable,2013,August,27
Tomato,Kg,34.5,39.0,36.75,Summer Monsoon,Vegetable,2013,August,29
Tomato,Kg,32.5,37.5,35.0,Summer Monsoon,Vegetable,2013,August,30
Tomato,Kg,60.0,65.0,62.5,Late Autumn,Vegetable,2013,December,1
Tomato,Kg,57.5,65.0,61.25,Late Autumn,Vegetable,2013,December,2
Tomato,Kg,50.0,60.0,55.0,Late Autumn,Vegetable,2013,December,3
Tomato,Kg,47.5,52.5,50.0,Late Autumn,Vegetable,2013,December,4
Tomato,Kg,32.5,40.0,36.25,Late Autumn,Vegetable,2013,December,5
Tomato,Kg,32.5,40.0,36.25,Late Autumn,Vegetable,2013,December,6
Tomato,Kg,37.5,45.0,41.25,Late Autumn,Vegetable,2013,December,8
Tomato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,9
Tomato,Kg,40.0,47.5,43.75,Late Autumn,Vegetable,2013,December,10
Tomato,Kg,34.0,41.0,37.5,Late Autumn,Vegetable,2013,December,11
Tomato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,12
Tomato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,13
Tomato,Kg,31.0,39.0,35.0,Late Autumn,Vegetable,2013,December,15
Tomato,Kg,37.0,41.5,39.25,Late Autumn,Vegetable,2013,December,16
Tomato,Kg,36.0,41.5,38.75,Late Autumn,Vegetable,2013,December,18
Tomato,Kg,31.0,36.5,33.75,Late Autumn,Vegetable,2013,December,19
Tomato,Kg,33.5,38.0,35.75,Late Autumn,Vegetable,2013,December,20
Tomato,Kg,33.5,39.0,36.25,Late Autumn,Vegetable,2013,December,22
Tomato,Kg,35.0,40.0,37.5,Late Autumn,Vegetable,2013,December,23
Tomato,Kg,33.0,38.5,35.75,Late Autumn,Vegetable,2013,December,24
Tomato,Kg,38.5,44.0,41.25,Late Autumn,Vegetable,2013,December,26
Tomato,Kg,38.5,44.0,41.25,Late Autumn,Vegetable,2013,December,27
Tomato,Kg,38.5,43.0,40.75,Late Autumn,Vegetable,2013,December,29
Tomato,Kg,37.5,42.5,40.0,Late Autumn,Vegetable,2013,December,31
Tomato,Kg,20.0,25.0,22.5,Early Summer,Vegetable,2013,July,1
Tomato,Kg,22.5,27.5,25.0,Early Summer,Vegetable,2013,July,2
Tomato,Kg,22.0,26.5,24.25,Early Summer,Vegetable,2013,July,3
Tomato,Kg,22.0,26.5,24.25,Early Summer,Vegetable,2013,July,4
Tomato,Kg,24.0,29.5,26.75,Early Summer,Vegetable,2013,July,5
Tomato,Kg,37.5,42.5,40.0,Early Summer,Vegetable,2013,July,9
Tomato,Kg,42.5,47.5,45.0,Early Summer,Vegetable,2013,July,10
Tomato,Kg,43.5,49.0,46.25,Early Summer,Vegetable,2013,July,11
Tomato,Kg,57.0,64.0,60.5,Early Summer,Vegetable,2013,July,12
Tomato,Kg,62.5,67.5,65.0,Early Summer,Vegetable,2013,July,14
Tomato,Kg,62.5,67.5,65.0,Summer Monsoon,Vegetable,2013,July,15
Tomato,Kg,64.0,71.0,67.5,Summer Monsoon,Vegetable,2013,July,16
Tomato,Kg,63.0,71.0,67.0,Summer Monsoon,Vegetable,2013,July,17
Tomato,Kg,52.5,57.5,55.0,Summer Monsoon,Vegetable,2013,July,18
Tomato,Kg,45.5,50.0,47.75,Summer Monsoon,Vegetable,2013,July,19
Tomato,Kg,39.0,43.5,41.25,Summer Monsoon,Vegetable,2013,July,21
Tomato,Kg,41.5,46.0,43.75,Summer Monsoon,Vegetable,2013,July,22
Tomato,Kg,42.5,47.5,45.0,Summer Monsoon,Vegetable,2013,July,23
Tomato,Kg,41.0,45.5,43.25,Summer Monsoon,Vegetable,2013,July,24
Tomato,Kg,45.0,50.0,47.5,Summer Monsoon,Vegetable,2013,July,25
Tomato,Kg,42.5,47.5,45.0,Summer Monsoon,Vegetable,2013,July,26
Tomato,Kg,40.0,47.5,43.75,Summer Monsoon,Vegetable,2013,July,28
Tomato,Kg,46.0,50.5,48.25,Summer Monsoon,Vegetable,2013,July,29
Tomato,Kg,44.0,48.5,46.25,Summer Monsoon,Vegetable,2013,July,30
Tomato,Kg,37.5,42.5,40.0,Summer Monsoon,Vegetable,2013,July,31
Tomato,Kg,30.5,36.0,33.25,Early Summer,Vegetable,2013,June,16
Tomato,Kg,22.5,27.5,25.0,Early Summer,Vegetable,2013,June,17
Tomato,Kg,23.5,28.0,25.75,Early Summer,Vegetable,2013,June,18
Tomato,Kg,24.5,29.0,26.75,Early Summer,Vegetable,2013,June,19
Tomato,Kg,23.5,28.0,25.75,Early Summer,Vegetable,2013,June,20
Tomato,Kg,20.0,25.0,22.5,Early Summer,Vegetable,2013,June,21
Tomato,Kg,27.5,32.5,30.0,Early Summer,Vegetable,2013,June,25
Tomato,Kg,25.0,30.0,27.5,Early Summer,Vegetable,2013,June,26
Tomato,Kg,24.0,29.5,26.75,Early Summer,Vegetable,2013,June,27
Tomato,Kg,27.0,31.5,29.25,Early Summer,Vegetable,2013,June,28
Tomato,Kg,21.5,26.0,23.75,Early Summer,Vegetable,2013,June,30
Tomato,Kg,47.5,55.0,51.25,Early Autumn,Vegetable,2013,November,1
Tomato,Kg,55.0,60.0,57.5,Early Autumn,Vegetable,2013,November,3
Tomato,Kg,52.5,57.5,55.0,Early Autumn,Vegetable,2013,November,4
Tomato,Kg,57.5,67.0,62.25,Early Autumn,Vegetable,2013,November,5
Tomato,Kg,75.0,85.0,80.0,Early Autumn,Vegetable,2013,November,6
Tomato,Kg,80.0,90.0,85.0,Early Autumn,Vegetable,2013,November,7
Tomato,Kg,65.0,75.0,70.0,Early Autumn,Vegetable,2013,November,10
Tomato,Kg,65.0,75.0,70.0,Early Autumn,Vegetable,2013,November,11
Tomato,Kg,77.5,85.0,81.25,Early Autumn,Vegetable,2013,November,12
Tomato,Kg,75.0,82.5,78.75,Early Autumn,Vegetable,2013,November,13
Tomato,Kg,75.5,82.5,79.0,Early Autumn,Vegetable,2013,November,14
Tomato,Kg,72.0,80.0,76.0,Late Autumn,Vegetable,2013,November,15
Tomato,Kg,72.5,85.0,78.75,Late Autumn,Vegetable,2013,November,16
Tomato,Kg,80.0,87.5,83.75,Late Autumn,Vegetable,2013,November,17
Tomato,Kg,72.5,85.0,78.75,Late Autumn,Vegetable,2013,November,18
Tomato,Kg,75.0,85.0,80.0,Late Autumn,Vegetable,2013,November,20
Tomato,Kg,67.5,77.5,72.5,Late Autumn,Vegetable,2013,November,21
Tomato,Kg,72.5,80.0,76.25,Late Autumn,Vegetable,2013,November,22
Tomato,Kg,65.0,75.0,70.0,Late Autumn,Vegetable,2013,November,24
Tomato,Kg,69.0,76.0,72.5,Late Autumn,Vegetable,2013,November,25
Tomato,Kg,70.0,80.0,75.0,Late Autumn,Vegetable,2013,November,26
Tomato,Kg,67.5,75.0,71.25,Late Autumn,Vegetable,2013,November,27
Tomato,Kg,62.5,70.0,66.25,Late Autumn,Vegetable,2013,November,28
Tomato,Kg,62.5,72.5,67.5,Late Autumn,Vegetable,2013,November,29
Tomato,Kg,36.5,41.0,38.75,Early Autumn,Vegetable,2013,October,1
Tomato,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,October,2
Tomato,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,October,3
Tomato,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,October,4
Tomato,Kg,57.5,65.0,61.25,Early Autumn,Vegetable,2013,October,6
Tomato,Kg,67.5,75.0,71.25,Early Autumn,Vegetable,2013,October,7
Tomato,Kg,55.0,60.0,57.5,Early Autumn,Vegetable,2013,October,8
Tomato,Kg,67.5,72.5,70.0,Early Autumn,Vegetable,2013,October,9
Tomato,Kg,65.0,70.0,67.5,Early Autumn,Vegetable,2013,October,10
Tomato,Kg,65.0,70.0,67.5,Early Autumn,Vegetable,2013,October,11
Tomato,Kg,55.0,62.5,58.75,Early Autumn,Vegetable,2013,October,12
Tomato,Kg,57.5,65.0,61.25,Early Autumn,Vegetable,2013,October,13
Tomato,Kg,55.0,62.5,58.75,Early Autumn,Vegetable,2013,October,14
Tomato,Kg,52.5,57.5,55.0,Early Autumn,Vegetable,2013,October,15
Tomato,Kg,47.5,55.0,51.25,Early Autumn,Vegetable,2013,October,16
Tomato,Kg,37.5,45.0,41.25,Early Autumn,Vegetable,2013,October,17
