Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,August,1
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,August,2
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,August,4
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,August,5
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,August,6
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,7
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,8
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,13
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,14
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,15
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,16
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,18
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,19
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,20
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,23
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,25
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,26
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,27
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,29
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,August,30
Water Melon,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,1
Water Melon,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,2
Water Melon,Kg,50.0,50.0,50.0,Late Autumn,Fruit,2013,December,3
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,4
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,5
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,6
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,8
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,9
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,10
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,11
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,12
Water Melon,Kg,50.0,50.0,50.0,Late Autumn,Fruit,2013,December,13
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,15
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,16
Water Melon,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,18
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,19
Water Melon,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,20
Water Melon,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,22
Water Melon,Kg,50.0,55.0,52.5,Late Autumn,Fruit,2013,December,23
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,24
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,26
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,27
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,29
Water Melon,Kg,50.0,60.0,55.0,Late Autumn,Fruit,2013,December,31
Water Melon,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,July,1
Water Melon,Kg,22.0,25.0,23.5,Early Summer,Fruit,2013,July,2
Water Melon,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,July,3
Water Melon,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,July,4
Water Melon,Kg,20.0,25.0,22.5,Early Summer,Fruit,2013,July,5
Water Melon,Kg,40.0,45.0,42.5,Early Summer,Fruit,2013,July,9
Water Melon,Kg,40.0,45.0,42.5,Early Summer,Fruit,2013,July,10
Water Melon,Kg,40.0,45.0,42.5,Early Summer,Fruit,2013,July,11
Water Melon,Kg,45.0,50.0,47.5,Early Summer,Fruit,2013,July,12
Water Melon,Kg,40.0,45.0,42.5,Early Summer,Fruit,2013,July,14
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,July,15
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,16
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,17
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,18
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,19
Water Melon,Kg,50.0,55.0,52.5,Summer Monsoon,Fruit,2013,July,21
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,22
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,23
Water Melon,Kg,50.0,55.0,52.5,Summer Monsoon,Fruit,2013,July,24
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,25
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,26
Water Melon,Kg,40.0,45.0,42.5,Summer Monsoon,Fruit,2013,July,28
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,29
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,30
Water Melon,Kg,45.0,50.0,47.5,Summer Monsoon,Fruit,2013,July,31
Water Melon,Kg,15.0,18.0,16.5,Early Summer,Fruit,2013,June,16
Water Melon,Kg,14.0,16.0,15.0,Early Summer,Fruit,2013,June,17
Water Melon,Kg,12.0,15.0,13.5,Early Summer,Fruit,2013,June,18
Water Melon,Kg,14.0,16.0,15.0,Early Summer,Fruit,2013,June,19
Water Melon,Kg,14.0,16.0,15.0,Early Summer,Fruit,2013,June,20
Water Melon,Kg,16.0,18.0,17.0,Early Summer,Fruit,2013,June,21
Water Melon,Kg,17.0,18.0,17.5,Early Summer,Fruit,2013,June,25
Water Melon,Kg,15.0,18.0,16.5,Early Summer,Fruit,2013,June,26
Water Melon,Kg,18.0,20.0,19.0,Early Summer,Fruit,2013,June,27
Water Melon,Kg,18.0,20.0,19.0,Early Summer,Fruit,2013,June,28
Water Melon,Kg,24.0,25.0,24.5,Early Summer,Fruit,2013,June,30
Water Melon,Kg,40.0,50.0,45.0,Early Autumn,Fruit,2013,November,1
Water Melon,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2013,November,3
Water Melon,Kg,50.0,55.0,52.5,Early Autumn,Fruit,2013,November,4
Water Melon,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2013,November,5
Water Melon,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2013,November,6
Water Melon,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2013,November,7
Water Melon,Kg,50.0,60.0,55.0,Early Autumn,Fruit,2013,November,10
