Commodity,Unit,Minimum,Maximum,Average,Season,Category,Year,Month,Day
Yam,Kg,26.0,28.0,27.0,Late Autumn,Vegetable,2013,December,1
Yam,Kg,26.0,28.0,27.0,Late Autumn,Vegetable,2013,December,2
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,3
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,4
Yam,Kg,24.0,28.0,26.0,Late Autumn,Vegetable,2013,December,5
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,6
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,8
Yam,Kg,25.0,28.0,26.5,Late Autumn,Vegetable,2013,December,9
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,10
Yam,Kg,30.0,32.0,31.0,Late Autumn,Vegetable,2013,December,11
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,12
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,13
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,15
Yam,Kg,30.0,35.0,32.5,Late Autumn,Vegetable,2013,December,16
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,18
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,19
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,20
Yam,Kg,25.0,30.0,27.5,Late Autumn,Vegetable,2013,December,22
Yam,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,23
Yam,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,24
Yam,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,26
Yam,Kg,28.0,30.0,29.0,Late Autumn,Vegetable,2013,December,29
Yam,Kg,24.0,26.0,25.0,Late Autumn,Vegetable,2013,December,31
Yam,Kg,50.0,60.0,55.0,Early Autumn,Vegetable,2013,November,1
Yam,Kg,55.0,60.0,57.5,Early Autumn,Vegetable,2013,November,3
Yam,Kg,48.0,50.0,49.0,Early Autumn,Vegetable,2013,November,4
Yam,Kg,48.0,50.0,49.0,Early Autumn,Vegetable,2013,November,5
Yam,Kg,45.0,50.0,47.5,Early Autumn,Vegetable,2013,November,7
Yam,Kg,50.0,52.0,51.0,Early Autumn,Vegetable,2013,November,10
Yam,Kg,40.0,45.0,42.5,Early Autumn,Vegetable,2013,November,11
Yam,Kg,38.0,40.0,39.0,Early Autumn,Vegetable,2013,November,12
Yam,Kg,35.0,40.0,37.5,Early Autumn,Vegetable,2013,November,13
Yam,Kg,40.0,46.0,43.0,Early Autumn,Vegetable,2013,November,14
Yam,Kg,38.0,42.0,40.0,Late Autumn,Vegetable,2013,November,15
Yam,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,November,16
Yam,Kg,42.0,50.0,46.0,Late Autumn,Vegetable,2013,November,17
Yam,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,November,18
Yam,Kg,45.0,50.0,47.5,Late Autumn,Vegetable,2013,November,20
Yam,Kg,40.0,45.0,42.5,Late Autumn,Vegetable,2013,November,21
Yam,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,November,22
Yam,Kg,38.0,40.0,39.0,Late Autumn,Vegetable,2013,November,24
